accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_000805935.1	archaeon GW2011_AR9	d__Archaea; p__; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR9; g__GW2011-AR9; s__GW2011-AR9 sp10194u	False	False
GCA_000806095.1	archaeon GW2011_AR4	d__Archaea; p__; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__UBA9989; g__UBA9989; s__UBA9989 sp9989u	False	False
GCA_000806135.1	archaeon GW2011_AR11	d__Archaea; p__; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR4; g__GW2011-AR11; s__GW2011-AR11 sp12027u	False	False
GCA_000830295.1	archaeon GW2011_AR15	d__Archaea; p__; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR15; g__GW2011-AR15; s__GW2011-AR15 sp000830295	True	False
GCA_001595785.1	Euryarchaeota archaeon SM23-78	d__Archaea; p__Euryarchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SM23-78; g__SM23-78; s__SM23-78 sp001595785	True	False
GCA_001871415.1	Candidatus Woesearchaeota archaeon CG1_02_57_44	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-57-44; g__CG1-02-57-44; s__CG1-02-57-44 sp001871415	True	False
GCA_001872765.1	Candidatus Woesearchaeota archaeon CG1_02_33_12	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-33-12; g__CG1-02-33-12; s__CG1-02-33-12 sp002762865	False	False
GCA_001872825.1	Candidatus Woesearchaeota archaeon CG1_02_47_18	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-47-18; g__CG1-02-47-18; s__CG1-02-47-18 sp002763335	False	False
GCA_002498125.1	Candidatus Woesearchaeota archaeon UBA525	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__UBA525; g__UBA525; s__UBA525 sp002498125	True	False
GCA_002503425.1	Candidatus Woesearchaeota archaeon UBA94	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-57-44; g__CG1-02-57-44; s__CG1-02-57-44 sp001871415	False	False
