accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_001603055.1	Victivallales bacterium Lenti_02	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Victivallales; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__Lenti-02; g__Lenti-02; s__Lenti-02 sp001603055	True	False
GCA_001604235.1	Lentisphaerales bacterium Lenti_01	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Lentisphaerales; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_001604255.1	Victivallales bacterium Lenti_03	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Victivallales; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_001803205.1	Lentisphaerae bacterium GWF2_38_69	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-38-69; g__GWF2-38-69; s__GWF2-38-69 sp001803205	True	False
GCA_001803225.1	Lentisphaerae bacterium GWF2_44_16	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-45-14; g__GWF2-44-16; s__GWF2-44-16 sp001803225	True	False
GCA_001803235.1	Lentisphaerae bacterium RIFOXYA12_64_32	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__YB12-FULL-65-16; g__YB12-FULL-65-16; s__YB12-FULL-65-16 sp001803235	True	False
GCA_001803305.1	Lentisphaerae bacterium RIFOXYB12_FULL_65_16	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__YB12-FULL-65-16; g__YB12-FULL-65-16; s__YB12-FULL-65-16 sp001803235	False	False
GCA_001804785.1	Lentisphaerae bacterium GWF2_45_14	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-45-14; g__GWF2-45-14; s__GWF2-45-14 sp001804785	True	False
GCA_001804805.1	Lentisphaerae bacterium GWF2_49_21	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-50-93; g__GWF2-50-93; s__GWF2-50-93 sp001804805	True	False
GCA_001804815.1	Lentisphaerae bacterium GWF2_50_93	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-50-93; g__GWF2-50-93; s__GWF2-50-93 sp001804815	True	False
GCA_002068325.1	Lentisphaerae bacterium ADurb.BinA184	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__MVZH01; g__MVZH01; s__MVZH01 sp002068325	True	False
GCA_002069785.1	Lentisphaerae bacterium ADurb.Bin242	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__UBA1829; g__UBA11452; s__UBA11452 sp002069785	True	False
GCA_002070945.1	Lentisphaerae bacterium ADurb.Bin082	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__UBA1407; g__JAAZKI01; s__JAAZKI01 sp002070945	True	False
GCA_002305655.1	Lentisphaeria bacterium UBA1407	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__UBA1407; g__UBA1407; s__UBA1407 sp002305655	True	False
GCA_002314455.1	Lentisphaeria bacterium UBA1791	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__UBA1784; s__UBA1784 sp002314455	True	False
GCA_002314605.1	Lentisphaeria bacterium UBA1776	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__UBA1776; s__UBA1776 sp002314605	True	False
GCA_002315455.1	Lentisphaeria bacterium UBA1784	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__UBA1784; s__UBA1784 sp002315455	True	False
GCA_002315855.1	Lentisphaeria bacterium UBA1732	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__UBA1829; g__UBA1732; s__UBA1732 sp002315855	True	False
