accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_000597885.1	Flammeovirgaceae bacterium 311	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Cesiribacter; s__Cesiribacter sp000597885	True	False
GCA_001313265.1	Algoriphagus boritolerans DSM 17298 = JCM 18970	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__Algoriphagus boritolerans	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__Algoriphagus boritolerans	False	True
GCA_001314815.1	Algoriphagus marincola HL-49	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__Algoriphagus marincola	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__Algoriphagus marincola_A	False	False
GCA_001464155.1	Cytophagales bacterium Ga0077538	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Chryseotalea; s__Chryseotalea sp001464155	True	False
GCA_001567185.1	Bacteroidetes bacterium OLB12	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp001567185	True	False
GCA_001657315.1	Flammeovirgaceae bacterium BBD 1991-12	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fulvivirga; s__Fulvivirga sp001657315	True	False
GCA_001683905.1	Marivirga sp. ANT-B6	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Marivirgaceae; g__Marivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ANT-B6; s__ANT-B6 sp001683905	True	False
GCA_002280175.1	Algoriphagus sp. 32-45-6	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__	Undefined (Failed Quality Check)	False	False
GCA_002292365.1	Flammeovirgaceae bacterium UBA976	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA4465; s__UBA4465 sp002292365	True	False
GCA_002296035.1	Roseivirga sp. UBA838	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Roseivirgaceae; g__Roseivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__Fabibacter thermotolerans	False	False
GCA_002335165.1	Flammeovirgaceae bacterium UBA2019	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA2336; s__UBA2336 sp002425185	False	False
GCA_002335855.1	Flammeovirgaceae bacterium UBA1990	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA4465; s__UBA4465 sp002470835	False	False
GCA_002336125.1	Flammeovirgaceae bacterium UBA1954	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA7330; s__UBA7330 sp002471275	False	False
GCA_002336195.1	Roseivirga sp. UBA1988	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Roseivirgaceae; g__Roseivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__Fabibacter sp002477595	False	False
GCA_002336325.1	Roseivirga sp. UBA1976	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Roseivirgaceae; g__Roseivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__Fabibacter thermotolerans	False	False
GCA_002338655.1	Flammeovirgaceae bacterium UBA1842	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fulvivirga; s__Fulvivirga sp002338655	True	False
GCA_002342955.1	Flammeovirgaceae bacterium UBA2427	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp002352225	False	False
GCA_002343885.1	Flammeovirgaceae bacterium UBA2384	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp002352225	False	False
GCA_002344065.1	Flammeovirgaceae bacterium UBA2366	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA2336; s__UBA2336 sp002344065	True	False
GCA_002344485.1	Flammeovirgaceae bacterium UBA2352	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA2336; s__UBA2336 sp002344065	False	False
GCA_002344795.1	Flammeovirgaceae bacterium UBA2338	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp002344795	True	False
GCA_002344845.1	Flammeovirgaceae bacterium UBA2336	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA2336; s__UBA2336 sp002425185	False	False
GCA_002345225.1	Flammeovirgaceae bacterium UBA2318	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA2336; s__UBA2336 sp002344065	False	False
GCA_002345965.1	Flammeovirgaceae bacterium UBA2371	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp002345965	True	False
GCA_002352225.1	Flammeovirgaceae bacterium UBA2786	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp002352225	True	False
GCA_002376385.1	Algoriphagus sp. UBA3586	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__Algoriphagus ornithinivorans	False	False
GCA_002386845.1	Flammeovirgaceae bacterium UBA4584	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA4465; s__UBA4465 sp002470835	False	False
GCA_002387525.1	Roseivirga sp. UBA4591	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Roseivirgaceae; g__Roseivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__Fabibacter sp002477595	False	False
GCA_002390105.1	Flammeovirgaceae bacterium UBA4465	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA4465; s__UBA4465 sp002470835	False	False
GCA_002398365.1	Flammeovirgaceae bacterium UBA5008	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp002398365	True	False
GCA_002405445.1	Flammeovirgaceae bacterium UBA4659	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189; s__ELB16-189 sp002405445	True	False
GCA_002425185.1	Flammeovirgaceae bacterium UBA5585	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA2336; s__UBA2336 sp002425185	True	False
GCA_002425385.1	Flammeovirgaceae bacterium UBA5575	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__UBA2336; s__UBA2336 sp002425185	False	False
GCA_002427745.1	Roseivirga sp. UBA6061	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Roseivirgaceae; g__Roseivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Roseivirga; s__Roseivirga sp002427745	True	False
GCA_002427755.1	Roseivirga sp. UBA6052	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Roseivirgaceae; g__Roseivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__Fabibacter sp002427755	True	False
GCA_002432545.1	Flammeovirgaceae bacterium UBA5867	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Ohtaekwangia; s__Ohtaekwangia sp002432545	True	False
