accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_001618605.1	Candidatus Fermentibacter daniensis	d__Bacteria; p__Candidatus Fermentibacteria; c__Candidatus Fermentibacteria (class); o__Candidatus Fermentibacterales; f__Candidatus Fermentibacteraceae; g__Candidatus Fermentibacter; s__Candidatus Fermentibacter daniensis	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Fermentibacter; s__Fermentibacter daniensis	True	False
GCA_001618615.1	Candidatus Fermentibacter daniensis	d__Bacteria; p__Candidatus Fermentibacteria; c__Candidatus Fermentibacteria (class); o__Candidatus Fermentibacterales; f__Candidatus Fermentibacteraceae; g__Candidatus Fermentibacter; s__Candidatus Fermentibacter daniensis	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Fermentibacter; s__Fermentibacter daniensis	False	False
GCA_001618625.1	Candidatus Fermentibacter daniensis	d__Bacteria; p__Candidatus Fermentibacteria; c__Candidatus Fermentibacteria (class); o__Candidatus Fermentibacterales; f__Candidatus Fermentibacteraceae; g__Candidatus Fermentibacter; s__Candidatus Fermentibacter daniensis	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Fermentibacter; s__Fermentibacter daniensis	False	False
GCA_001875255.1	Candidatus Sabulitectum silens	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__Candidatus Sabulitectum; s__Candidatus Sabulitectum silens	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Sabulitectum; s__Sabulitectum silens	True	False
GCA_002030045.1	Candidatus Aegiribacteria sp. MLS_C	d__Bacteria; p__; c__; o__; f__; g__Candidatus Aegiribacteria; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Aegiribacteria; s__Aegiribacteria sp002030045	True	False
GCA_002071475.1	candidate division Hyd24-12 bacterium ADurb.Bin004	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Fermentibacter; s__Fermentibacter daniensis	False	False
GCA_002363235.1	candidate division Hyd24-12 bacterium UBA3253	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__UBA5938; s__UBA5938 sp002414865	False	False
GCA_002414865.1	candidate division Hyd24-12 bacterium UBA5074	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__UBA5938; s__UBA5938 sp002414865	True	False
GCA_002430795.1	candidate division Hyd24-12 bacterium UBA5938	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__UBA5938; s__UBA5938 sp002414865	False	False
GCA_002436025.1	candidate division Hyd24-12 bacterium UBA6080	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__UBA6080; s__UBA6080 sp002436025	True	False
GCA_002479745.1	candidate division Hyd24-12 bacterium UBA7474	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__UBA5938; s__UBA5938 sp002414865	False	False
GCA_002748705.1	Candidatus Fermentibacteria bacterium	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Sabulitectum; s__Sabulitectum sp002748705	True	False
GCA_003644925.1	Candidatus Fermentibacteria bacterium	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Aegiribacteria; s__Aegiribacteria sp003644925	True	False
GCA_003646025.1	Candidatus Fermentibacteria bacterium	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Sabulitectum; s__Sabulitectum sp003646025	True	False
GCA_012516735.1	Candidatus Fermentibacter daniensis	d__Bacteria; p__Candidatus Fermentibacteria; c__Candidatus Fermentibacteria (class); o__Candidatus Fermentibacterales; f__Candidatus Fermentibacteraceae; g__Candidatus Fermentibacter; s__Candidatus Fermentibacter daniensis	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Fermentibacter; s__Fermentibacter daniensis	False	False
GCA_012523605.1	Candidatus Fermentibacteria bacterium	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__JAAYTY01; s__JAAYTY01 sp012523605	True	False
GCA_013138965.1	Candidatus Aegiribacteria sp.	d__Bacteria; p__; c__; o__; f__; g__Candidatus Aegiribacteria; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Aegiribacteria; s__Aegiribacteria sp013138965	True	False
GCA_014728175.1	Candidatus Fermentibacteria bacterium	d__Bacteria; p__Candidatus Fermentibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__WJMA01; s__WJMA01 sp014728175	True	False
GCA_016744855.1	Candidatus Fermentibacteraceae bacterium	d__Bacteria; p__Candidatus Fermentibacteria; c__Candidatus Fermentibacteria (class); o__Candidatus Fermentibacterales; f__Candidatus Fermentibacteraceae; g__; s__	d__Bacteria; p__Fermentibacterota; c__Fermentibacteria; o__Fermentibacterales; f__Fermentibacteraceae; g__Sabulitectum; s__Sabulitectum sp016744855	True	False
