accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002085285.1	Candidatus Latescibacteria bacterium 4484_7	d__Bacteria; p__Candidatus Latescibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__4484-7; s__4484-7 sp002085285	True	False
GCA_002403075.1	bacterium UBP1_UBA4783	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__SSS58A; s__SSS58A sp002403075	True	False
GCA_002403295.1	bacterium UBP1_UBA4771	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__SSS58A; s__SSS58A sp002403295	True	False
GCA_003369455.1	Candidatus Krumholzibacterium zodletonense	d__Bacteria; p__Candidatus Krumholzibacteriota; c__Candidatus Krumholzibacteria; o__Candidatus Krumholzibacteriales; f__Candidatus Krumholzibacteriaceae; g__Candidatus Krumholzibacterium; s__Candidatus Krumholzibacterium zodletonense	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__Krumholzibacterium; s__Krumholzibacterium zodletonense	False	False
GCA_003369535.1	bacterium 0218	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__Krumholzibacterium; s__Krumholzibacterium sp003369535	False	False
GCA_016926065.1	Candidatus Krumholzibacteriota bacterium	d__Bacteria; p__Candidatus Krumholzibacteriota; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__JAFGPI01; s__JAFGPI01 sp016926065	True	False
GCA_016931295.1	Candidatus Krumholzibacteriota bacterium	d__Bacteria; p__Candidatus Krumholzibacteriota; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__JAFGEZ01; s__JAFGEZ01 sp016931295	True	False
GCA_016932415.1	Candidatus Krumholzibacteriota bacterium	d__Bacteria; p__Candidatus Krumholzibacteriota; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__Krumholzibacterium; s__Krumholzibacterium sp003369535	True	False
GCA_016933255.1	Candidatus Krumholzibacteriota bacterium	d__Bacteria; p__Candidatus Krumholzibacteriota; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__Krumholzibacterium; s__Krumholzibacterium zodletonense	True	False
GCA_017885175.1	bacterium	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__SSS58A; s__SSS58A sp017885175	True	False
GCA_019038625.1	Candidatus Latescibacteria bacterium	d__Bacteria; p__Candidatus Latescibacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria; o__Krumholzibacteriales; f__Krumholzibacteriaceae; g__Krumholzibacterium; s__Krumholzibacterium sp019038625	True	False
