accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_001767915.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_46_13	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp001767915	True	False
GCA_001768875.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp001767915	False	False
GCA_001871905.1	Alphaproteobacteria bacterium CG1_02_46_17	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp001871905	True	False
GCA_002167715.1	Micavibrio sp. TMED27	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__TMED27; s__TMED27 sp002167715	True	False
GCA_002299145.1	Micavibrio sp. UBA671	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2638; s__UBA2638 sp002359735	False	False
GCA_002320485.1	Micavibrio sp. UBA1664	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1664; s__UBA1664 sp002320485	True	False
GCA_002320665.1	Micavibrio sp. UBA1672	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1672; s__UBA1672 sp002320665	True	False
GCA_002321835.1	Micavibrio sp. UBA1618	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2705; s__UBA2705 sp002690045	False	False
GCA_002322315.1	Micavibrio sp. UBA1573	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp001871905	False	False
GCA_002328415.1	Micavibrio sp. UBA2137	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2137; s__UBA2137 sp002328415	True	False
GCA_002338525.1	Micavibrio sp. UBA1850	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1850; s__UBA1850 sp002338525	True	False
GCA_002339545.1	Micavibrio sp. UBA2621	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2638; s__UBA2638 sp002359735	False	False
GCA_002344755.1	Micavibrio sp. UBA2341	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp002425415	False	False
GCA_002354205.1	Micavibrio sp. UBA2705	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2705; s__UBA2705 sp002354205	True	False
GCA_002358745.1	Micavibrio sp. UBA3393	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA9664; s__UBA9664 sp002699085	False	False
GCA_002359735.1	Micavibrio sp. UBA2638	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2638; s__UBA2638 sp002359735	True	False
GCA_002401195.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1664; s__UBA1664 sp002401195	True	False
GCA_002401695.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1672; s__UBA1672 sp002401695	True	False
GCA_002401965.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1672; s__UBA1672 sp002401965	True	False
GCA_002413445.1	Micavibrio sp. UBA5167	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2137; s__UBA2137 sp002695035	False	False
GCA_002420015.1	Micavibrio sp. UBA5703	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA5701; s__UBA5701 sp002420015	True	False
