accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_001314865.1	Phormidesmis priestleyi Ana	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Phormidesmis; s__Phormidesmis priestleyi	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Phormidesmis; s__Phormidesmis priestleyi_B	True	False
GCA_003017785.1	filamentous cyanobacterium CCP5	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__CCP5; s__CCP5 sp003017785	True	False
GCA_003017855.1	filamentous cyanobacterium CCT1	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp003017855	True	False
GCA_003018975.1	filamentous cyanobacterium CCP4	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp003017855	False	False
GCA_003022385.1	filamentous cyanobacterium CCP3	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp003022385	True	False
GCA_003241845.1	Shackletoniella antarctica	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Oculatellaceae; g__Shackletoniella; s__Shackletoniella antarctica	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea antarctica	True	False
GCA_003242035.1	Leptolyngbya foveolarum	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__Leptolyngbya foveolarum	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Phormidesmis; s__Phormidesmis foveolarum	True	False
GCA_003242115.1	Phormidesmis priestleyi	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Phormidesmis; s__Phormidesmis priestleyi	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Phormidesmis; s__Phormidesmis priestleyi_A	True	False
GCA_003249105.1	Leptolyngbya sp.	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp003249105	True	False
GCA_003249155.1	Leptolyngbya sp.	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea antarctica	False	False
GCA_003550805.1	Cyanobacteria bacterium B1Sed10_56	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007135385	False	False
GCA_003556305.1	Cyanobacteria bacterium CSSed10_82m	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007135385	False	False
GCA_003561295.1	Cyanobacteria bacterium CSSed11_75	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007135385	False	False
GCA_003564835.1	Cyanobacteria bacterium T3Sed10_36R1	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp003564835	False	False
GCA_003566335.1	Cyanobacteria bacterium T3Sed10_344R1	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__PXDR01; s__PXDR01 sp003566335	True	False
GCA_007123155.1	Leptolyngbyaceae cyanobacterium CSSed162cmA_214	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007135385	False	False
GCA_007126585.1	Leptolyngbyaceae cyanobacterium CSSed162cmB_428R1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007135385	False	False
GCA_007135385.1	Leptolyngbyaceae cyanobacterium CSSed165cm_216	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007135385	True	False
GCA_007692715.1	Leptolyngbya sp. LCM1.Bin17	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007135385	False	False
GCA_007694115.1	Leptolyngbya sp. DLM2.Bin27	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp007694115	True	False
GCA_010671905.1	Leptolyngbya sp. SIOISBB	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Halomicronema; s__Halomicronema sp010671905	True	False
GCA_010671975.1	Leptolyngbya sp. SIO4C1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__SIO4C1; s__SIO4C1 sp010671975	True	False
GCA_010672825.2	Leptolyngbya sp. SIO1E4	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__SIO1E4; s__SIO1E4 sp010672825	True	False
GCA_011009535.1	Leptolyngbyaceae cyanobacterium CCMR0082	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Leptothoe; s__Leptothoe sp011009555	False	False
GCA_011009555.1	Leptolyngbyaceae cyanobacterium CCMR0081	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Leptothoe; s__Leptothoe sp011009555	True	False
GCA_012031045.1	Leptolyngbyaceae cyanobacterium SM2_5_2	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp012031045	True	False
GCA_012031865.1	Leptolyngbyaceae cyanobacterium SM1_1_3	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__JAAUQI01; s__JAAUQI01 sp012032345	False	False
GCA_012032345.1	Leptolyngbyaceae cyanobacterium RM1_1_2	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__JAAUQI01; s__JAAUQI01 sp012032345	True	False
GCA_012032425.1	Leptolyngbya sp. RL_3_1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__PCC-6406; s__PCC-6406 sp012032425	True	False
GCA_012032635.1	Leptolyngbyaceae cyanobacterium SL_1_1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__JAAUQI01; s__JAAUQI01 sp012032345	False	False
GCA_012033015.1	Phormidesmis sp. RL_2_1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Phormidesmis; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Phormidesmis; s__Phormidesmis sp012033015	True	False
GCA_014534085.1	Cyanobacteria bacterium Co-bin8	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__JACVSF01; s__JACVSF01 sp014534085	False	False
GCA_014534385.1	Cyanobacteria bacterium Co-bin13	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__JACVSF01; s__JACVSF01 sp014534385	True	False
GCA_015272155.1	Leptolyngbyaceae cyanobacterium T60_A2020_046	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__JACYME01; s__JACYME01 sp015272155	True	False
GCA_015295885.1	Leptolyngbyaceae cyanobacterium M65_K2018_010	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp015295885	True	False
GCA_018970085.1	Cyanobacteria bacterium REEB459	d__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp018970085	True	False
GCF_000155595.1	Synechococcus sp. PCC 7335	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Phormidesmis; s__Phormidesmis sp000155595	True	False
GCF_000309385.1	Nodosilinea nodulosa PCC 7104	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Prochlorotrichaceae; g__Nodosilinea; s__Nodosilinea nodulosa	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea nodulosa	True	False
GCF_000316115.1	Leptolyngbya sp. PCC 7375	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Leptothoe; s__Leptothoe sp000316115	True	False
GCF_000332095.2	Leptolyngbya sp. PCC 6406	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__PCC-6406; s__PCC-6406 sp000332095	True	False
GCF_000482245.1	Leptolyngbya sp. Heron Island J	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Leptothoe; s__Leptothoe sp000482245	True	False
GCF_000763385.1	Leptolyngbya sp. KIOST-1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp000763385	True	False
GCF_000817775.2	Lyngbya confervoides BDU141951	d__Bacteria; p__Cyanobacteria; c__; o__Oscillatoriales; f__Oscillatoriaceae; g__Lyngbya; s__Lyngbya confervoides	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Halomicronema; s__Halomicronema excentricum	False	False
GCF_001904775.1	Phormidium tenue NIES-30	d__Bacteria; p__Cyanobacteria; c__; o__Oscillatoriales; f__Oscillatoriaceae; g__Phormidium; s__Phormidium tenue	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea tenue	False	False
