accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002167845.2	Phycisphaera sp. TMED9	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Phycisphaera; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__UBA12014; s__UBA12014 sp002167845	True	False
GCA_002168105.2	Phycisphaera sp. TMED24	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Phycisphaera; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__UBA8653; s__UBA8653 sp002168105	True	False
GCA_002169045.1	Phycisphaeraceae bacterium TMED231	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__UBA12014; s__UBA12014 sp002690755	False	False
GCA_002169945.1	Phycisphaera sp. TMED151	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Phycisphaera; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__UBA8653; s__UBA8653 sp002862275	False	False
GCA_002295795.1	Phycisphaerales bacterium UBA860	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA7800; s__UBA7800 sp002480565	False	False
GCA_002336705.1	Phycisphaerales bacterium UBA1956	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA7800; s__UBA7800 sp002480565	False	False
GCA_002456095.1	Phycisphaerales bacterium UBA6626	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA6626; s__UBA6626 sp002716625	False	False
GCA_002480565.1	Phycisphaerales bacterium UBA7800	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA7800; s__UBA7800 sp002480565	True	False
GCA_002686995.1	Phycisphaeraceae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__GCA-2686995; s__GCA-2686995 sp002686995	True	False
GCA_002688155.1	Phycisphaerae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__ARS1224; s__ARS1224 sp002688155	True	False
GCA_002704825.1	Phycisphaeraceae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA7800; s__UBA7800 sp002704825	True	False
GCA_002716625.1	Phycisphaeraceae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA6626; s__UBA6626 sp002716625	True	False
GCA_002732755.1	Phycisphaera sp.	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Phycisphaera; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__UBA1924; g__GCA-2732755; s__GCA-2732755 sp002732755	True	False
GCA_003450355.1	Phycisphaerales bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA7800; s__UBA7800 sp002480565	False	False
GCA_003517325.1	Phycisphaerales bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__UBA7800; s__UBA7800 sp002480565	False	False
GCA_003551485.1	Phycisphaeraceae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__B1Sed10-187; s__B1Sed10-187 sp003551485	True	False
GCA_003552605.1	Phycisphaeraceae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__B1Sed10-187; s__B1Sed10-187 sp003552605	True	False
GCA_003558685.1	Phycisphaeraceae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_003562195.1	Phycisphaeraceae bacterium	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__PWVT01; s__PWVT01 sp003562195	True	False
