accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_001567255.1	Bacteroidetes bacterium OLB9	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__OLB9; s__OLB9 sp001567255	True	False
GCA_001567405.1	Bacteroidetes bacterium OLB8	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__OLB8; s__OLB8 sp001567405	False	False
GCA_002335865.1	Saprospiraceae bacterium UBA1994	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__UBA1994; s__UBA1994 sp002335865	True	False
GCA_002342945.1	Saprospiraceae bacterium UBA2425	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__UBA2329; s__UBA2329 sp002344975	False	False
GCA_002343155.1	Saprospiraceae bacterium UBA2415	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__UBA2365; s__UBA2365 sp002344345	False	False
GCA_002343745.1	Saprospiraceae bacterium UBA2401	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__UBA2329; s__UBA2329 sp002344975	False	False
GCA_002343765.1	Saprospiraceae bacterium UBA2398	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__OLB8; s__OLB8 sp001567405	False	False
GCA_002343835.1	Saprospiraceae bacterium UBA2405	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__OLB8; s__OLB8 sp001567405	False	False
GCA_002344155.1	Saprospiraceae bacterium UBA2358	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__OLB8; s__OLB8 sp001567405	False	False
GCA_002344235.1	Saprospiraceae bacterium UBA2379	d__Bacteria; p__Bacteroidetes; c__Saprospiria; o__Saprospirales; f__Saprospiraceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__UBA2329; s__UBA2329 sp002344975	False	False
