accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_000380765.1	Cloacimonetes bacterium JGI 0000039-G13	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas acidaminovorans	False	False
GCA_000494045.1	Cloacimonetes bacterium JGI OTU-3	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas acidaminovorans	False	False
GCA_001412425.1	Candidatus Cloacimonas sp. SDB	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__Candidatus Cloacimonas; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__SDB; s__SDB sp001412425	True	False
GCA_001577125.1	Cloacimonetes bacterium TCS61	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__TCS61; s__TCS61 sp001577185	False	False
GCA_001577185.1	Cloacimonetes bacterium TCS62	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__TCS61; s__TCS61 sp001577185	True	False
GCA_001603745.1	Cloacimonetes bacterium WWEI_01	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002432865	False	False
GCA_002070045.1	Candidatus Cloacimonetes bacterium ADurb.Bin211	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp002070045	True	False
GCA_002070725.1	Candidatus Cloacimonetes bacterium ADurb.Bin117	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp012516855	False	False
GCA_002070895.1	Candidatus Cloacimonetes bacterium ADurb.Bin088	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA4175; s__UBA4175 sp002379855	False	False
GCA_002085205.1	Candidatus Cloacimonas sp. 4484_275	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__Candidatus Cloacimonas; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__4484-275; s__4484-275 sp002085205	True	False
GCA_002316305.1	Cloacimonetes bacterium UBA1060	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera thermopropionivorans	False	False
GCA_002316885.1	Cloacimonetes bacterium UBA1032	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002345525.1	Cloacimonetes bacterium UBA2292	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002412625	False	False
GCA_002376725.1	Cloacimonetes bacterium UBA3541	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp002376725	True	False
GCA_002376825.1	Cloacimonetes bacterium UBA3538	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp002376725	False	False
GCA_002379705.1	Cloacimonetes bacterium UBA4186	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp002376725	False	False
GCA_002379815.1	Cloacimonetes bacterium UBA4177	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp002376725	False	False
GCA_002379855.1	Cloacimonetes bacterium UBA4175	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA4175; s__UBA4175 sp002379855	True	False
GCA_002380465.1	Cloacimonetes bacterium UBA4172	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp002376725	False	False
GCA_002391675.1	Cloacimonetes bacterium UBA3900	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA3900; s__UBA3900 sp002391675	True	False
GCA_002398435.1	Cloacimonetes bacterium UBA4999	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002399155.1	Cloacimonetes bacterium UBA4887	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002399685.1	Cloacimonetes bacterium UBA4860	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002399895.1	Cloacimonetes bacterium UBA4849	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002408005.1	Cloacimonetes bacterium UBA5350	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002408605.1	Cloacimonetes bacterium UBA5263	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002408915.1	Cloacimonetes bacterium UBA5245	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002410505.1	Cloacimonetes bacterium UBA5284	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	True	False
GCA_002411185.1	Cloacimonetes bacterium UBA5313	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002412445.1	Cloacimonetes bacterium UBA5220	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002412625.1	Cloacimonetes bacterium UBA5210	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002412625	True	False
GCA_002417805.1	Cloacimonetes bacterium UBA5817	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002432865	False	False
GCA_002424285.1	Cloacimonetes bacterium UBA5462	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002424605.1	Cloacimonetes bacterium UBA5614	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5614; s__UBA5614 sp002424605	True	False
GCA_002425825.1	Cloacimonetes bacterium UBA5553	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002425825	True	False
GCA_002426365.1	Cloacimonetes bacterium UBA5482	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_002426475.1	Cloacimonetes bacterium UBA5477	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002432865	False	False
GCA_002427325.1	Cloacimonetes bacterium UBA5456	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002427325	True	False
GCA_002428685.1	Cloacimonetes bacterium UBA6081	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002428685	True	False
GCA_002432865.1	Cloacimonetes bacterium UBA5835	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002432865	True	False
GCA_002435865.1	Cloacimonetes bacterium UBA6097	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5614; s__UBA5614 sp002435865	True	False
GCA_002742885.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__GCA-2742885; g__GCA-2742885; s__GCA-2742885 sp002742885	True	False
GCA_002840645.1	Candidatus Cloacimonetes bacterium HGW-Cloacimonetes-3	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002840645	True	False
GCA_002841975.1	Candidatus Cloacimonetes bacterium HGW-Cloacimonetes-1	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__PHBQ01; s__PHBQ01 sp002841975	True	False
GCA_002842035.1	Candidatus Cloacimonetes bacterium HGW-Cloacimonetes-2	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__PHBP01; s__PHBP01 sp002842035	True	False
GCA_003456755.1	Candidatus Cloacimonas sp.	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__Candidatus Cloacimonas; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA3900; s__UBA3900 sp002391675	False	False
GCA_003564135.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__PWNZ01; g__PWNZ01; s__PWNZ01 sp003564135	True	False
GCA_003564155.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__PWNZ01; g__PWOA01; s__PWOA01 sp003564155	True	False
GCA_003647825.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__B137-G9; s__B137-G9 sp003647825	True	False
GCA_009777575.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__WRIO01; g__WRLO01; s__WRLO01 sp009777575	True	False
GCA_009782695.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__WRIO01; g__WRIO01; s__WRIO01 sp009782695	True	False
GCA_011372345.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__DRTC01; s__DRTC01 sp011372345	True	False
GCA_012516855.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp012516855	True	False
GCA_012519465.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA3900; s__UBA3900 sp012519465	True	False
GCA_012522215.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002410505	False	False
GCA_012522635.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp012522635	True	False
GCA_012522935.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA3900; s__UBA3900 sp012522935	True	False
GCA_012523235.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002427325	False	False
GCA_012728875.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp012728875	True	False
GCA_012839325.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp012839325	True	False
GCA_012842985.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA3900; s__UBA3900 sp002391675	False	False
GCA_013203665.1	Armatimonadetes bacterium	d__Bacteria; p__Armatimonadetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__JABMPU01; s__JABMPU01 sp013203665	True	False
