accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_001512435.1	Halothermothrix sp. DTU029	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halothermothrix; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__DTU029; g__DTU029; s__DTU029 sp001512435	True	False
GCA_001577545.1	Halanaerobium sp. T82-1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium congolense	False	False
GCA_001577625.1	Candidatus Frackibacter sp. T328-2	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__Candidatus Frackibacter; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halobacteroidales; f__Acetohalobiaceae; g__Frackibacter; s__Frackibacter sp900114655	False	False
GCA_001723995.1	Halanaerobium sp. 4-GBenrich	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium congolense	False	False
GCA_001730715.1	Halanaerobium sp. MDAL1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium congolense	False	False
GCA_002385435.1	Halothermothrix sp. UBA3952	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halothermothrix; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__DTU029; g__DTU029; s__DTU029 sp001512435	False	False
GCA_003070805.1	Halanaerobium sp.	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium congolense	False	False
GCA_003070825.1	Halanaerobium sp.	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium sp003070825	True	False
GCA_003070835.1	Halanaerobium sp.	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__	Undefined (Failed Quality Check)	False	False
GCA_003550445.1	Halobacteroidaceae bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__B1SED10-174; f__B1SED10-174; g__T1SED10-26; s__T1SED10-26 sp003550445	True	False
GCA_003550485.1	Halanaerobiaceae bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halarsenatibacteraceae; g__T1SED10-84; s__T1SED10-84 sp003553485	False	False
GCA_003550965.1	Halobacteroidaceae bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__B1SED10-174; f__B1SED10-174; g__T1SED10-26; s__T1SED10-26 sp003554145	False	False
GCA_003551085.1	Halanaerobiaceae bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halarsenatibacteraceae; g__T1SED10-84; s__T1SED10-84 sp003554225	False	False
GCA_003551095.1	Halanaerobiaceae bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halarsenatibacteraceae; g__SLSL01; s__SLSL01 sp007130465	False	False
