accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_000380785.1	Hydrogenedentes bacterium JGI 0000039-J10	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__Hydrogenedentaceae; g__Hydrogenedens; s__Hydrogenedens terephthalicus	False	False
GCA_000405145.1	Hydrogenedentes bacterium JGI 0000077-O16	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__Hydrogenedentaceae; g__Hydrogenedens; s__Hydrogenedens terephthalicus	False	False
GCA_000493945.1	Candidatus Hydrogenedens terephthalicus JGI OTU-1	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__Candidatus Hydrogenedens; s__Candidatus Hydrogenedens terephthalicus	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__Hydrogenedentaceae; g__Hydrogenedens; s__Hydrogenedens terephthalicus	True	False
GCA_002070275.1	Candidatus Hydrogenedentes bacterium ADurb.Bin170	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__JAAYJV01; s__JAAYJV01 sp002070275	True	False
GCA_002348185.1	Candidatus Hydrogenedentes bacterium UBA2224	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__UBA2224; s__UBA2224 sp002348185	True	False
GCA_002422525.1	Candidatus Hydrogenedentes bacterium UBA6118	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__UBA6118; s__UBA6118 sp002422525	True	False
GCA_002746185.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__GCA-2746185; g__GCA-2746185; s__GCA-2746185 sp002746185	True	False
GCA_003552485.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__PUMX01; s__PUMX01 sp003552485	True	False
GCA_003552765.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__SKRY01; s__SKRY01 sp003552765	True	False
GCA_003557825.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__PWNM01; s__PWNM01 sp003557825	True	False
GCA_003557915.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__SLFT01; s__SLFT01 sp007118765	False	False
GCA_003565405.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__SLFT01; s__SLFT01 sp007118765	False	False
GCA_007116095.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SCBR16-9; g__SCBR16-9; s__SCBR16-9 sp007116095	True	False
GCA_007118235.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__SKRY01; s__SKRY01 sp007118235	True	False
GCA_007118765.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__SLFT01; s__SLFT01 sp007118765	True	False
