accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_000155695.1	Verrucomicrobiae bacterium DG1235	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Pelagicoccus; s__Pelagicoccus sp000155695	True	False
GCA_000242935.3	Opitutaceae bacterium TAV5	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Geminisphaera; s__Geminisphaera sp000242935	True	False
GCA_000243495.3	Opitutaceae bacterium TAV1	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Geminisphaera; s__Geminisphaera sp000242935	False	False
GCA_000438015.1	Coraliomargarita sp. CAG:312	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Puniceicoccales; f__Puniceicoccaceae; g__Coraliomargarita; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__CAG-312; g__Merdousia; s__Merdousia sp000438015	True	False
GCA_000972765.1	Verrucomicrobia bacterium IMCC26134	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__IMCC26134_A; s__IMCC26134_A sp000972765	True	False
GCA_001439535.1	Opitutaceae bacterium BACL24 MAG-120322-bin51	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__DSM-45221; g__BACL24; s__BACL24 sp002430605	False	False
GCA_001464505.1	Verrucomicrobia bacterium Ga0077533	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Lacunisphaera; s__Lacunisphaera sp001464505	True	False
GCA_001604565.1	Puniceicoccales bacterium Verruco_01	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Puniceicoccales; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Verruco-01; g__Verruco-01; s__Verruco-01 sp001604565	True	False
GCA_001604585.1	Puniceicoccales bacterium Verruco_02	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Puniceicoccales; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Verruco-01; g__Verruco-01; s__Verruco-01 sp001604585	True	False
GCA_001650175.1	Opitutaceae bacterium TSB47	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Ereboglobus; s__Ereboglobus sp001650175	True	False
GCA_001653815.2	Opitutaceae bacterium TAV3	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Geminisphaera; s__Geminisphaera colitermitum	False	False
GCA_001653825.2	Opitutaceae bacterium TAV4	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Geminisphaera; s__Geminisphaera colitermitum	False	False
GCA_001831055.1	Verrucomicrobia bacterium GWC2_42_7	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__GWC2-42-7-A; g__GWC2-42-7-A; s__GWC2-42-7-A sp001831055	True	False
GCA_001831095.1	Verrucomicrobia bacterium GWF2_51_19	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA12508; g__UBA12508; s__UBA12508 sp001831095	True	False
GCA_001872735.1	Verrucomicrobia bacterium CG1_02_43_26	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__CG1-02-43-26; g__CG1-02-43-26; s__CG1-02-43-26 sp001872735	True	False
GCA_001917305.1	Verrucomicrobia bacterium CAG:312_58_20	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__CAG-312; g__Merdousia; s__Merdousia sp001917305	False	False
GCA_002070825.1	Verrucomicrobia bacterium ADurb.Bin122	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__MWDT01; s__MWDT01 sp002070825	True	False
GCA_002167265.1	Verrucomicrobia bacterium TMED56	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__MB11C04; g__MB11C04; s__MB11C04 sp002167265	True	False
GCA_002167605.1	Verrucomicrobia bacterium TMED40	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__MB11C04; g__MB11C04; s__MB11C04 sp002167605	True	False
GCA_002168015.1	Verrucomicrobia bacterium TMED44	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__MB11C04; g__MB11C04; s__MB11C04 sp002168015	True	False
GCA_002170475.2	Coraliomargarita sp. TMED73	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Puniceicoccales; f__Puniceicoccaceae; g__Coraliomargarita; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__DSM-45221; g__Coraliomargarita; s__Coraliomargarita sp002469895	False	False
GCA_002170515.2	Verrucomicrobia bacterium TMED71	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__UBA5691; s__UBA5691 sp002420265	False	False
GCA_002170655.2	Opitutales bacterium TMED207	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_002171045.1	Opitutales bacterium TMED158	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_002171765.1	Verrucomicrobia bacterium TMED60	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__MB11C04; g__MB11C04; s__MB11C04 sp002171765	True	False
