accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002327805.1	Candidatus Marinimicrobia bacterium UBA2216	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__UBA2242; s__UBA2242 sp002347855	False	False
GCA_002347855.1	Candidatus Marinimicrobia bacterium UBA2242	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__UBA2242; s__UBA2242 sp002347855	True	False
GCA_002403015.1	Candidatus Marinimicrobia bacterium UBA4786	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__UBA2242; s__UBA2242 sp002347855	False	False
GCA_002774355.1	Candidatus Marinimicrobia bacterium CG08_land_8_20_14_0_20_45_22	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__0-14-0-20-45-22; s__0-14-0-20-45-22 sp002774355	True	False
GCA_003527965.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__UBA9312; s__UBA9312 sp003527965	True	False
GCA_003644565.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__B5-G15; g__B5-G15; s__B5-G15 sp003645825	False	False
GCA_003645825.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__B5-G15; g__B5-G15; s__B5-G15 sp003645825	True	False
GCA_003645845.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__B118-G9; s__B118-G9 sp003645845	True	False
GCA_011046365.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__B118-G9; s__B118-G9 sp011046365	True	False
GCA_016782645.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__BS750m-G69; s__BS750m-G69 sp016782645	True	False
GCA_016783665.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__UBA9312; s__UBA9312 sp016783665	True	False
GCA_016934035.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__JAFGTP01; g__JAFGTP01; s__JAFGTP01 sp016934035	True	False
GCA_016936335.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__B118-G9; s__B118-G9 sp016936335	True	False
GCA_017656425.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__B5-G15; g__JACDNV01; s__JACDNV01 sp017656425	True	False
GCA_017656455.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__B5-G15; g__B5-G15; s__B5-G15 sp003645825	False	False
GCA_018002295.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__JAGNGI01; s__JAGNGI01 sp018002295	True	False
GCA_018056805.1	Candidatus Marinimicrobia bacterium	d__Bacteria; p__Candidatus Marinimicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__JAGNGI01; s__JAGNGI01 sp018002295	False	False
GCA_018814665.1	bacterium	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__B118-G9; s__B118-G9 sp018824205	False	False
GCA_018817605.1	bacterium	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__B118-G9; s__B118-G9 sp018824205	False	False
GCA_018822525.1	bacterium	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__B118-G9; s__B118-G9 sp018824205	False	False
GCA_018824205.1	bacterium	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__B118-G9; s__B118-G9 sp018824205	True	False
GCA_018895675.1	bacterium	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Marinisomatota; c__UBA2242; o__UBA2242; f__UBA2242; g__UBA9312; s__UBA9312 sp018895675	True	False
