OTU	Blank	Elos05	Elos06	Elos07	Elos08	Elos09	Elos01	Elos10	Elos11	Elos12	Elos13	Elos02	Elos03	Elos04	Classification
Otu352	0	0	0	0	0	0	0	116	0	0	3	0	0	0	Main genome;Bacteria
Otu1219	0	1	0	0	0	0	2	0	0	0	2	12	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1218	0	0	0	0	0	5	2	4	0	0	0	11	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1217	0	3	0	0	0	0	1	0	0	22	0	8	0	0	Main genome;Archaea;Euryarchaeota
Otu1216	0	9	0	0	0	4	0	1	0	12	0	21	0	0	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum
Otu1215	0	18	0	0	0	0	4	0	0	0	0	47	2	8	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Orenia
Otu1214	0	0	0	0	0	0	5	0	0	0	6	21	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1213	0	0	0	0	0	0	0	0	0	0	0	9	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halomicrobiaceae;Candidatus Halobonum
Otu1212	0	0	0	0	0	4	0	1	0	2	0	15	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1211	0	10	0	0	0	7	2	1	0	3	5	23	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;MSBL9;SG8-4
Otu1210	0	2	0	0	0	0	0	6	0	0	14	12	0	0	Main genome;Bacteria
Otu1329	0	4	7	4	0	0	12	2	0	2	0	7	1	4	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Natronoarchaeum;Natronoarchaeum rubrum
Otu1328	0	0	4	0	0	0	1	0	0	0	0	0	2	0	Main genome;Bacteria;Planctomycetes;OM190
Otu1323	0	8	0	0	0	1	0	8	0	7	16	8	0	0	Main genome;Bacteria;Patescibacteria;Microgenomatia
Otu1322	0	3	0	0	0	0	0	1	0	7	3	3	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu1321	0	3	0	0	0	0	0	1	0	0	2	0	0	0	Main genome;Bacteria;Gemmatimonadetes;MD2902-B12
Otu1320	0	3	0	0	0	0	0	0	0	0	0	3	0	0	Main genome;Archaea;Asgardaeota;Lokiarchaeia
