OTU	Elos10	Classification
Otu12388	6067	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Agrobacterium;Agrobacterium tumefaciens complex;Agrobacterium tumefaciens;;;
Otu12389	794	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Flexistipes;Flexistipes sinusarabici;Flexistipes sinusarabici DSM 4947;;;;
Otu12390	3784	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas oleovorans/pseudoalcaligenes group;Pseudomonas furukawaii;;;
Otu12391	1281	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Neorhizobium;Neorhizobium galegae;Neorhizobium galegae bv. officinalis;Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141;;
Otu12392	1134	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia phytofirmans;Paraburkholderia phytofirmans OLGA172;;;;
Otu12393	2509	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales incertae sedis;Pseudorhodoplanes;Pseudorhodoplanes sinuspersici;;;;;
Otu12394	2927	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Ruaniaceae;Ruania;unclassified Ruania;Ruania sp. HY164;;;
Otu12395	3846	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella;unclassified Shinella;Shinella sp. PSBB067;;;;
Otu12396	237	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;;;;;;
Otu12397	223	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria;cyanobacterium endosymbiont of Epithemia turgida;cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko;;;;;
Otu12398	2319	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Ruaniaceae;Ruania;unclassified Ruania;Ruania sp. HY168;;;
Otu12399	49	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;unclassified Halobacterium;Halobacterium sp. GSL-19;;;
