ko:K00228    CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
ko:K00287    DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
ko:K00691    mapA; maltose phosphorylase [EC:2.4.1.8]
ko:K00697    otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
ko:K00754    bshA; L-malate glycosyltransferase [EC:2.4.1.-]
ko:K00836    ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
ko:K00898    PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
ko:K01087    otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]
ko:K01194    TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]
ko:K01444    AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
ko:K01536    ENA; P-type Na+/K+ transporter [EC:7.2.2.3 7.2.2.-]
ko:K01539    ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
ko:K01540    ATP1B, CD298; sodium/potassium-transporting ATPase subunit beta
ko:K01543    ATP4B; H+/K+-exchanging ATPase subunit beta [EC:7.2.2.19]
ko:K01544    ATP12A; non-gastric H+/K+-exchanging ATPase [EC:7.2.2.19]
ko:K01545    kdpF; potassium-transporting ATPase KdpF subunit
ko:K01546    kdpA; potassium-transporting ATPase potassium-binding subunit
ko:K01547    kdpB; potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]
ko:K01548    kdpC; potassium-transporting ATPase KdpC subunit
ko:K01752    E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]
ko:K01838    pgmB; beta-phosphoglucomutase [EC:5.4.2.6]
ko:K02000    proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]
ko:K02001    proW; glycine betaine/proline transport system permease protein
ko:K02030    ABC.PA.S; polar amino acid transport system substrate-binding protein
ko:K02150    ATPeV1E, ATP6E; V-type H+-transporting ATPase subunit E
ko:K02168    betT, betS; choline/glycine/proline betaine transport protein
ko:K02480    K02480; two-component system, NarL family, sensor kinase [EC:2.7.13.3]
ko:K02482    flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]
ko:K02484    K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]
ko:K02486    K02486; two-component system, sensor kinase [EC:2.7.13.3]
ko:K02755    bglFa; beta-glucoside PTS system EIIA component [EC:2.7.1.-]
ko:K03062    PSMC1, RPT2; 26S proteasome regulatory subunit T2
ko:K03297    emrE, qac, mmr, smr; small multidrug resistance pump
ko:K03455    TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family
ko:K03498    trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein
ko:K03549    kup; KUP system potassium uptake protein
ko:K03692    E2.4.1.213; glucosylglycerol-phosphate synthase [EC:2.4.1.213]
ko:K03731    E2.4.1.216; trehalose 6-phosphate phosphorylase [EC:2.4.1.216]
ko:K03789    rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
ko:K03826    yiaC; putative acetyltransferase [EC:2.3.1.-]
ko:K03827    yjaB; putative acetyltransferase [EC:2.3.1.-]
ko:K04008    CD59; CD59 antigen
ko:K04344    CACNA1A, CAV2.1; voltage-dependent calcium channel P/Q type alpha-1A
ko:K04498    EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]
ko:K04659    THBS2S; thrombospondin 2/3/4/5
ko:K04828    ASIC2, ACCN1, BNAC1; acid-sensing ion channel 2
ko:K04829    ASIC1, ACCN2, BNAC2; acid-sensing ion channel 1
ko:K04831    ASIC4, ACCN4, BNAC4; acid-sensing ion channel 4
ko:K04833    SCN1A, NAV1.1; voltage-gated sodium channel type I alpha
ko:K04834    SCN2A, NAV1.2; voltage-gated sodium channel type II alpha
ko:K04836    SCN3A, NAV1.3; voltage-gated sodium channel type III alpha
ko:K04837    SCN4A, NAV1.4; voltage-gated sodium channel type IV alpha
ko:K04838    SCN5A, NAV1.5; voltage-gated sodium channel type V alpha
ko:K04839    SCN7A, SCN6A; voltage-gated sodium channel type VII alpha
ko:K04840    SCN8A, NAV1.6; voltage-gated sodium channel type VIII alpha
ko:K04841    SCN9A, NAV1.7; voltage-gated sodium channel type IX alpha
ko:K04842    SCN10A, NAV1.8; voltage-gated sodium channel type X alpha
ko:K04843    SCN11A, NAV1.9; voltage-gated sodium channel type XI alpha
ko:K04845    SCN1B; voltage-gated sodium channel type I beta
ko:K04846    SCN2B; voltage-gated sodium channel type II beta
ko:K04848    SCN4B; voltage-gated sodium channel type IV beta
ko:K04854    CACNA1G, CAV3.1; voltage-dependent calcium channel T type alpha-1G
ko:K04855    CACNA1H, CAV3.2; voltage-dependent calcium channel T type alpha-1H
ko:K04856    CACNA1I, CAV3.3; voltage-dependent calcium channel T type alpha-1I
ko:K04874    KCNA1, KV1.1; potassium voltage-gated channel Shaker-related subfamily A member 1
ko:K04875    KCNA2, KV1.2; potassium voltage-gated channel Shaker-related subfamily A member 2
ko:K04877    KCNA4, KV1.4; potassium voltage-gated channel Shaker-related subfamily A member 4
ko:K04890    KCNC4, KV3.4; potassium voltage-gated channel Shaw-related subfamily C member 4
ko:K04892    KCND2, KV4.2; potassium voltage-gated channel Shal-related subfamily D member 2
