k_number	Elos01	Elos02	Elos03	Elos07	Elos10	Elos12	Description	Category
K02030	327.7863888	459.7814118	268.5136405	398.9449318	451.8759794	249.9347508	ABC.PA.S; polar amino acid transport system substrate-binding protein	alkali metal–cation transporters
K03455	326.7349229	244.6895796	371.8117983	401.6694375	313.4955795	319.8873521	TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family	alkali metal–cation transporters
K03498	326.1856146	303.6697219	306.6980266	306.1381739	250.7474157	308.234507	trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein	alkali metal–cation transporters
K02482	81.84564513	289.4884022	129.4734461	122.4258575	312.5202053	184.2780162	flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	osmosensors 
K00287	256.7827198	88.36541789	226.1322911	201.1397816	95.48674067	156.7276236	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	other
K20974	121.7103853	90.49723915	143.7460582	153.452446	119.4988192	68.51650889	K20974; two-component system, sensor histidine kinase [EC:2.7.13.3]	osmosensors 
K13598	57.74192645	81.08920898	142.3322101	146.2103027	106.8164609	105.8386986	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	osmosensors 
K07636	69.87352728	171.6952524	66.67844551	101.4879298	100.7744759	105.5952351	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	osmosensors 
K02001	89.10393837	101.0693353	102.6578413	119.4769699	83.63615305	97.37126691	proW; glycine betaine/proline transport system permease protein	compatible solutes
K03789	117.1596899	101.1063866	95.1474232	105.2205783	67.36335654	91.85988309	rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	other
K02000	85.15370917	95.40685657	94.32051665	109.709038	82.41931918	92.36169128	proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	compatible solutes
K00228	68.66793756	34.96220875	139.9256049	143.9829693	69.56304759	85.60878901	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	other
K01752	37.10662144	82.59049495	136.6954007	122.9550929	82.57495817	47.09513121	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]	other
K00754	42.84925136	76.27400501	71.13107153	63.96270222	65.37128173	97.41835598	bshA; L-malate glycosyltransferase [EC:2.4.1.-]	other
K02168	72.00746006	60.32255785	83.04176199	97.2636977	54.3439073	49.71609071	betT, betS; choline/glycine/proline betaine transport protein	compatible solutes
K01838	33.58392766	117.3715832	50.20388702	46.2563464	95.17805951	59.15145116	pgmB; beta-phosphoglucomutase [EC:5.4.2.6]	other
K11527	94.80136204	41.79305861	51.56018764	68.81016475	64.9127788	39.22059763	K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	osmosensors 
K09181	46.96986698	52.18957598	64.6770324	85.92368444	46.70714527	62.00900026	yfiQ; acetyltransferase	other
