bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
bin1	3036004	86	69264	65.21786697091217	100.0	1.408450704225352
bin10	4383911	122	99012	43.705953399284695	97.1830985915493	1.408450704225352
bin100	3767557	306	20399	58.45514657995858	98.59154929577464	4.225352112676056
bin101	2020528	95	46122	42.43011498978664	94.36619718309859	0.0
bin102	2802028	118	49714	58.54355176321984	94.36619718309859	2.816901408450704
bin103	3935194	132	56801	52.031623108026636	85.91549295774648	1.408450704225352
bin104	3819308	1120	4397	73.70297243803293	52.11267605633803	7.042253521126761
bin105	4354355	142	50810	66.39656886536329	100.0	4.225352112676056
bin106	1376350	74	42504	51.85203758523084	87.32394366197182	1.408450704225352
bin107	2110065	15	495620	65.4893912173617	98.59154929577464	0.0
bin108	5601620	110	112207	52.50844357305989	98.59154929577464	9.859154929577464
bin109	4898703	154	47307	51.17977263699461	98.59154929577464	5.633802816901408
bin11	4550413	183	72948	43.19325532000972	97.1830985915493	0.0
bin110	5981801	401	21172	59.12476494496035	92.95774647887323	1.408450704225352
bin111	2279937	78	53280	63.93620496156554	95.77464788732394	4.225352112676056
bin112	5876804	158	83093	61.05608450820158	97.1830985915493	8.450704225352112
bin113	2386241	46	102492	49.17513919321296	100.0	1.408450704225352
bin114	6760573	545	18858	65.76592275700253	100.0	11.267605633802816
bin115	3668891	537	9745	54.97442168430269	97.1830985915493	5.633802816901408
bin116	1554151	556	3175	53.71829200628591	77.46478873239437	9.859154929577464
bin117	4867531	124	63197	49.04021846102784	97.1830985915493	1.408450704225352
bin118	1298855	52	40641	36.53857211783478	73.6842105263158	1.3157894736842106
bin119	2999276	205	28995	56.69273895627707	90.14084507042253	1.408450704225352
bin12	823571	216	5909	46.76361340337847	72.36842105263158	11.842105263157896
bin120	2528233	655	5105	62.38445511423903	91.54929577464789	2.816901408450704
bin121	4216231	354	18772	43.72721010396585	97.1830985915493	8.450704225352112
bin122	2001690	436	5746	59.667522188967624	81.69014084507042	2.816901408450704
bin123	3446204	219	39293	59.50008350002092	92.95774647887323	2.816901408450704
bin124	3994640	956	5262	55.70718689029993	94.36619718309859	7.042253521126761
bin125	4684597	630	10249	59.74460746415012	94.36619718309859	7.042253521126761
bin126	5508193	816	9004	46.356792464429866	53.521126760563384	0.0
bin127	2024512	447	8471	50.63112425391289	93.42105263157895	10.526315789473685
bin128	4472131	982	5340	65.89136891869828	88.73239436619718	5.633802816901408
bin129	3338126	20	299475	61.96654589850622	100.0	0.0
bin13	1883796	759	2908	50.95047606819579	84.50704225352112	5.633802816901408
bin130	3999049	117	61770	47.45614475730644	95.77464788732394	1.408450704225352
bin131	2451626	26	143921	49.87873438167228	86.84210526315789	9.210526315789474
bin132	835089	248	4227	39.501103804321716	72.36842105263158	5.2631578947368425
bin133	2633962	541	8541	32.095914731678974	98.59154929577464	7.042253521126761
bin134	2754776	70	86625	28.294982502411294	94.36619718309859	2.816901408450704
bin135	5143598	282	57321	58.72289443398462	98.59154929577464	8.450704225352112
bin136	2675375	848	3976	50.27655035308115	84.50704225352112	7.042253521126761
bin137	1570739	215	11852	44.75756196114902	95.77464788732394	2.816901408450704
bin138	3111104	129	38814	63.01748079862251	97.1830985915493	1.408450704225352
bin139	1311032	71	41342	51.74593708611064	94.36619718309859	0.0
bin14	1304158	28	66782	35.85254518682258	75.0	2.6315789473684212
bin140	3801486	315	21564	44.06499238612322	94.36619718309859	8.450704225352112
bin141	1211296	34	136885	38.27075813650396	84.50704225352112	2.816901408450704
bin142	2508951	22	177677	48.13866748720054	100.0	1.408450704225352
bin143	4872378	71	143170	40.919595264380106	100.0	0.0
bin144	4388628	71	128930	57.731573423191804	100.0	4.225352112676056
bin145	3510215	438	10732	53.22538857772662	91.54929577464789	2.816901408450704
bin146	3976465	411	17021	50.09172038923525	92.95774647887323	4.225352112676056
bin147	3910643	104	67726	65.81910524482933	97.1830985915493	7.042253521126761
bin148	2660631	79	70926	29.133800621337226	95.77464788732394	2.816901408450704
bin149	2452168	81	53058	64.40874161822934	92.95774647887323	1.408450704225352
bin15	5468086	932	9208	57.28616660048599	92.95774647887323	5.633802816901408
bin150	3405964	66	109686	33.451587800452884	98.59154929577464	0.0
bin151	2324328	670	4579	29.978263235377078	98.59154929577464	8.450704225352112
bin152	2706773	237	15741	63.36614802939074	60.563380281690144	0.0
bin153	4682359	408	24077	62.89447336382992	88.73239436619718	2.816901408450704
bin154	3391069	71	110787	57.05551045624123	94.36619718309859	7.042253521126761
bin155	1088124	30	76688	34.171716593417976	78.94736842105263	2.6315789473684212
bin156	6621938	189	57079	63.52261639249135	98.59154929577464	11.267605633802816
bin157	2699603	425	8587	44.12599090140927	86.84210526315789	9.210526315789474
bin158	5517511	886	10710	67.48870713524772	95.77464788732394	8.450704225352112
bin159	3112074	1004	3857	59.1543372129255	85.91549295774648	2.816901408450704
bin16	3136627	37	118049	61.9185352801102	98.59154929577464	4.225352112676056
bin160	7432147	465	32172	55.400709589826505	98.59154929577464	0.0
bin161	2423099	124	43291	51.04770256133978	98.59154929577464	1.408450704225352
bin162	3299457	832	4606	45.55585858090207	80.28169014084507	2.816901408450704
bin163	2706084	937	3528	33.29409268979227	81.69014084507042	7.042253521126761
bin164	2682139	136	27741	63.83739290021766	88.73239436619718	1.408450704225352
bin165	2579023	565	5855	71.47717399396967	92.95774647887323	4.225352112676056
bin166	2896122	477	8327	67.57418434800975	81.69014084507042	2.816901408450704
bin167	1810899	408	5722	61.79076859473442	97.36842105263158	2.6315789473684212
bin168	908544	41	36558	35.878730651318854	68.42105263157895	1.3157894736842106
bin169	3870240	361	14992	61.49063678413626	95.77464788732394	2.816901408450704
bin17	2486121	836	3494	52.76400855081243	78.87323943661971	4.225352112676056
bin170	2016555	18	201814	38.53023148478799	85.52631578947368	5.2631578947368425
bin171	2673261	59	77444	67.37892038086972	100.0	2.816901408450704
bin172	5347779	420	19365	57.280630434762415	95.77464788732394	4.225352112676056
bin173	3655346	626	9106	53.389725818843026	90.14084507042253	2.816901408450704
bin174	1816419	267	8744	58.185181762989856	94.36619718309859	5.633802816901408
bin175	1653281	353	13562	29.874710409540672	78.94736842105263	0.0
bin176	2767361	193	19130	69.27760584508003	83.09859154929578	4.225352112676056
bin177	2921597	190	26335	37.60205721843809	94.36619718309859	4.225352112676056
bin178	3219107	1314	2864	59.35544363918888	85.91549295774648	4.225352112676056
bin179	4134807	1655	2909	53.3594827632664	85.91549295774648	7.042253521126761
bin18	2557121	53	86396	46.414550736346456	100.0	2.816901408450704
bin180	5019429	2042	2756	47.14584464908542	85.91549295774648	5.633802816901408
bin181	4963709	270	36966	62.07301946983945	97.1830985915493	1.408450704225352
bin182	2533222	644	5630	62.81211303400197	45.070422535211264	4.225352112676056
bin183	2396986	432	5974	54.98582074426781	87.32394366197182	4.225352112676056
bin184	1898752	35	118454	67.29046479705715	97.36842105263158	1.3157894736842106
bin185	4545171	488	17007	43.438655675261515	95.77464788732394	7.042253521126761
bin186	7088233	237	52824	59.81454861637433	97.1830985915493	8.450704225352112
bin187	3594130	337	18307	62.23617124444508	98.59154929577464	7.042253521126761
bin188	3497660	408	10004	46.97674083237174	90.14084507042253	4.225352112676056
bin189	3032999	38	176251	66.57370191452762	100.0	0.0
bin19	4599908	15	642706	55.31400523849748	98.59154929577464	5.633802816901408
bin190	971606	25	45024	39.73976489712384	75.0	1.3157894736842106
bin191	771583	4	733870	50.75228344401446	77.63157894736842	1.3157894736842106
bin192	4797937	331	19436	60.61509619499936	90.14084507042253	4.225352112676056
bin193	4540848	161	66627	47.910898284016035	98.59154929577464	0.0
bin194	4359882	534	13352	47.611005945211595	97.1830985915493	1.408450704225352
bin195	4341280	1045	5149	59.46398991627009	76.05633802816901	9.859154929577464
bin196	4001643	237	28765	51.816800314711045	88.73239436619718	4.225352112676056
bin197	5732331	50	258583	66.85065380789537	98.59154929577464	4.225352112676056
bin198	3015587	675	6232	70.03624349465024	88.73239436619718	9.859154929577464
bin199	5265857	611	11726	70.24096001461211	95.77464788732394	4.225352112676056
bin2	4380837	114	57711	50.68471007296799	98.59154929577464	0.0
bin20	8184525	261	57855	63.401689804877236	94.36619718309859	7.042253521126761
bin200	2567048	316	9960	48.63589709264291	87.32394366197182	7.042253521126761
bin201	4791333	957	8249	65.37771722126752	100.0	5.633802816901408
bin202	2032039	631	3828	68.41115601595064	67.6056338028169	1.408450704225352
bin203	3211329	1036	3691	42.9129305757787	84.50704225352112	0.0
bin204	3125993	211	32039	48.29047363164711	98.59154929577464	5.633802816901408
bin205	3863187	529	10901	52.55789538833429	95.77464788732394	8.450704225352112
bin206	1339676	83	25544	53.787792149166656	88.73239436619718	0.0
bin207	3683970	1094	4210	52.946902132585684	95.77464788732394	5.633802816901408
bin208	3048682	868	4196	66.06724326775192	84.50704225352112	7.042253521126761
bin209	5160174	414	19032	41.10872577782277	98.59154929577464	2.816901408450704
bin21	1173847	31	52828	40.581773584827054	85.52631578947368	2.6315789473684212
bin210	2859680	700	4917	36.70174159473105	84.50704225352112	4.225352112676056
bin211	888040	36	35597	40.710128471206424	75.0	1.3157894736842106
bin212	3553468	378	14392	58.912438212938646	97.1830985915493	0.0
bin213	3942821	1225	3855	49.18425111252541	81.69014084507042	7.042253521126761
bin214	3851060	119	59213	52.40800722395842	97.1830985915493	1.408450704225352
bin215	3638078	550	10317	53.02908575314296	90.14084507042253	1.408450704225352
bin216	3908564	100	77864	68.290523176147	98.59154929577464	2.816901408450704
bin217	2595892	475	10594	33.3937480760369	90.14084507042253	1.408450704225352
bin218	6292312	252	176931	41.9620002326206	86.84210526315789	6.578947368421052
bin219	4443944	425	24523	36.03956154850135	92.95774647887323	4.225352112676056
bin22	3771848	158	38929	49.08794987491001	97.1830985915493	4.225352112676056
bin220	7521633	224	78438	40.90828880307444	97.1830985915493	0.0
bin221	4282487	331	41806	65.29201312398412	98.59154929577464	0.0
bin222	6205175	655	26651	58.163387342009045	95.77464788732394	4.225352112676056
bin223	5096819	231	61160	34.35537423171727	96.05263157894737	3.9473684210526314
bin224	5575795	176	92703	49.83409056287041	98.59154929577464	0.0
bin225	3862896	109	116433	46.70470999889347	97.36842105263158	2.6315789473684212
bin226	4166736	186	79441	63.06467422734073	94.36619718309859	16.901408450704224
bin227	4328878	338	36644	59.406579633658865	95.77464788732394	5.633802816901408
bin228	5341009	659	18397	52.77917858608369	97.1830985915493	7.042253521126761
bin229	5129279	510	26313	39.408012406871684	98.59154929577464	2.816901408450704
bin23	4395336	96	78645	48.18511176299887	97.1830985915493	2.816901408450704
bin230	3633121	55	150555	43.47809995007144	97.1830985915493	2.816901408450704
bin231	4413204	169	59772	64.80381053291046	100.0	3.9473684210526314
bin232	2279527	130	99227	33.65124853964032	100.0	0.0
bin233	6024191	223	92867	48.58670832737367	95.77464788732394	5.633802816901408
bin234	5334268	761	17747	62.29247456060371	90.14084507042253	2.816901408450704
bin235	4498387	346	36401	39.18746486461781	98.59154929577464	2.816901408450704
bin236	3668726	141	97012	39.24304823710017	98.59154929577464	0.0
bin237	3509057	47	581071	68.70915664691776	94.36619718309859	4.225352112676056
bin238	3198133	289	21413	50.16650912789413	92.95774647887323	2.816901408450704
bin239	2976044	422	13214	47.248667353766486	95.77464788732394	5.633802816901408
bin24	5135100	233	44977	55.48957446946389	95.77464788732394	1.408450704225352
bin240	2603181	75	70540	71.20754847836169	98.59154929577464	4.225352112676056
bin241	3931479	125	105202	41.59717641048976	98.59154929577464	2.816901408450704
bin242	3780487	51	300590	54.87646138819433	98.59154929577464	0.0
bin243	2756648	311	16778	66.48417433143953	91.54929577464789	11.267605633802816
bin244	3612287	132	84015	49.443074943836066	91.54929577464789	5.633802816901408
bin245	3251815	76	214062	66.59447904100101	97.1830985915493	2.816901408450704
bin246	3638571	431	17632	58.523363302690676	95.77464788732394	2.816901408450704
bin247	2968876	566	8494	73.10667047221007	94.36619718309859	5.633802816901408
bin248	3068249	183	54926	52.24970391499121	100.0	2.816901408450704
bin249	4526104	175	60634	46.5550601343104	94.36619718309859	8.450704225352112
bin25	3461019	1436	2726	57.79585423167182	80.28169014084507	8.450704225352112
bin250	3859530	246	33931	64.4505269561898	98.6842105263158	5.2631578947368425
bin251	7061197	480	33407	52.02695843139627	100.0	2.816901408450704
bin252	3791817	160	63957	37.44001624776321	98.59154929577464	12.67605633802817
bin253	3572911	317	20487	38.408749714223426	94.36619718309859	1.408450704225352
bin254	4097602	226	38279	69.25282496664703	98.59154929577464	2.816901408450704
bin255	3491944	113	82463	68.107342587526	98.59154929577464	4.225352112676056
bin256	3864828	207	79662	54.663990568417155	98.59154929577464	1.408450704225352
bin257	2926791	245	82230	38.39679893264758	96.05263157894737	5.2631578947368425
bin258	4286503	398	27067	67.36786421422735	97.1830985915493	5.633802816901408
bin259	3474468	126	102682	65.11232666554434	92.95774647887323	1.408450704225352
bin26	6915267	332	34789	53.53378279958218	100.0	2.816901408450704
bin260	5212162	450	28432	50.99090113017654	94.36619718309859	5.633802816901408
bin261	5498742	573	19420	44.29783022037666	98.59154929577464	2.816901408450704
bin262	2454703	574	5807	33.45085386770179	81.69014084507042	4.225352112676056
bin263	2363283	500	6752	63.93882743183445	46.478873239436616	2.816901408450704
bin264	4496677	703	12090	67.25461797501548	98.59154929577464	9.859154929577464
bin265	3106678	427	13881	71.13400440904327	78.87323943661971	5.633802816901408
bin266	5905717	421	38332	33.696276247562324	93.42105263157895	7.894736842105263
bin267	5052429	321	135621	36.552243529899556	90.14084507042253	2.816901408450704
bin268	4014838	583	11376	57.82382710981895	100.0	11.267605633802816
bin269	6001649	468	24014	40.00351082040373	81.57894736842105	11.842105263157896
bin27	2841322	404	9184	62.637291971396934	95.77464788732394	0.0
bin270	2338700	497	6719	65.08991347762665	88.15789473684211	7.894736842105263
bin271	4248199	372	26050	40.032092170299485	98.59154929577464	5.633802816901408
bin272	3124390	266	29871	63.43922948495118	95.77464788732394	0.0
bin273	4436438	271	45613	69.57511541291802	100.0	2.816901408450704
bin274	3808428	406	39215	38.14297999911375	98.59154929577464	7.042253521126761
bin275	4848528	285	42623	51.39418868646213	97.1830985915493	0.0
bin276	2280563	144	216893	50.84635786827882	98.59154929577464	11.267605633802816
bin277	2887880	263	23546	58.03520034089736	92.95774647887323	1.408450704225352
bin278	4482375	279	44835	59.82730524578543	94.36619718309859	5.633802816901408
bin279	3395643	182	36045	68.15506154049096	98.59154929577464	1.408450704225352
bin28	1118633	78	38617	46.19012975367665	85.52631578947368	1.3157894736842106
bin280	4079706	196	52792	51.76486517613551	78.87323943661971	5.633802816901408
bin281	4728662	351	33638	40.96824151621824	98.59154929577464	1.408450704225352
bin282	3809365	138	163934	41.71290511918631	98.59154929577464	1.408450704225352
bin283	5420467	342	48229	44.08403451658565	100.0	7.042253521126761
bin284	4585224	456	24243	54.91056053592296	98.59154929577464	9.859154929577464
bin285	5330741	55	222736	63.07612733251943	100.0	2.816901408450704
bin286	2936140	86	142012	65.83470443363213	91.54929577464789	0.0
bin287	5760137	875	12913	39.97215794803655	100.0	2.816901408450704
bin288	3525716	346	17127	71.15409904621373	98.59154929577464	2.816901408450704
bin289	3609130	77	134977	73.26997783065046	95.77464788732394	5.633802816901408
bin29	815010	8	214844	36.198642623688784	78.94736842105263	1.3157894736842106
bin3	2718743	884	3596	49.995058366122386	56.33802816901409	2.816901408450704
bin30	4064371	61	152355	61.87097924588423	94.36619718309859	4.225352112676056
bin31	2642009	163	27808	66.97860004525533	95.77464788732394	0.0
bin32	2240912	712	3680	47.179807532945325	94.36619718309859	2.816901408450704
bin33	3094245	90	68640	54.179429776526945	92.95774647887323	0.0
bin34	2714543	240	20289	35.10347459729043	93.42105263157895	2.6315789473684212
bin35	1554097	347	6630	57.13015677932983	84.50704225352112	5.633802816901408
bin36	5217045	590	12396	54.94731392306065	91.54929577464789	5.633802816901408
bin37	3978790	92	81870	66.7930153340306	98.59154929577464	0.0
bin38	2810989	38	184912	64.84785368221354	91.54929577464789	0.0
bin39	1337994	65	28148	43.86934672296313	72.36842105263158	3.9473684210526314
bin4	2460462	1145	2438	46.51622026823948	77.46478873239437	5.633802816901408
bin40	1607191	249	9255	54.48357909517667	87.32394366197182	2.816901408450704
bin41	2713903	119	40654	45.819298696796636	94.36619718309859	0.0
bin42	3530671	258	23040	43.964077570799525	97.1830985915493	0.0
bin43	3558993	242	22240	53.464039003119105	97.1830985915493	4.225352112676056
bin44	3728252	856	5666	58.644421197524835	92.95774647887323	5.633802816901408
bin45	1600504	338	10229	42.90161567196323	83.09859154929578	4.225352112676056
bin46	3925950	106	59174	47.1452293163095	97.1830985915493	1.408450704225352
bin47	1639872	11	216916	53.10638816468224	95.77464788732394	0.0
bin48	4353327	853	6286	55.89776259303181	83.09859154929578	4.225352112676056
bin49	4138135	229	26586	59.50459075851944	95.77464788732394	9.859154929577464
bin5	3945710	161	36599	57.99504552938588	87.32394366197182	2.816901408450704
bin50	2577079	877	3602	56.17243575661621	71.83098591549296	5.633802816901408
bin51	1173288	219	7882	39.16762231022172	84.21052631578948	6.578947368421052
bin52	6953419	273	49453	58.82838347457929	100.0	1.408450704225352
bin53	3117364	228	21887	71.4220373414363	66.19718309859155	0.0
bin54	1485822	24	86472	51.3404175023206	80.26315789473684	6.578947368421052
bin55	4009918	411	16306	59.496024493059075	94.36619718309859	1.408450704225352
bin56	6007897	474	18572	48.020647708405185	61.971830985915496	0.0
bin57	4240203	228	28851	61.153658978752645	57.74647887323944	2.816901408450704
bin58	5852196	596	17050	52.97869109154533	92.95774647887323	5.633802816901408
bin59	3387291	221	22997	65.42560715379079	97.1830985915493	2.816901408450704
bin6	3257192	413	9900	62.69617854391001	67.6056338028169	7.042253521126761
bin60	4108445	920	5947	56.08534974956546	94.36619718309859	5.633802816901408
bin61	673974	10	163739	33.224936040324884	84.50704225352112	1.408450704225352
bin62	3535174	807	6276	59.74966278010939	97.1830985915493	7.042253521126761
bin63	3542513	519	8909	59.39696845542296	98.59154929577464	1.408450704225352
bin64	3782540	130	74244	59.06063092450984	100.0	2.816901408450704
bin65	2210920	271	13171	34.377685000448764	93.42105263157895	6.578947368421052
bin66	3576265	107	58061	36.57354599485614	100.0	0.0
bin67	4418068	511	11353	58.84774231072601	90.14084507042253	2.816901408450704
bin68	4633607	173	70645	34.00723433651892	94.73684210526316	0.0
bin69	6762672	271	51315	58.46052099965466	98.59154929577464	4.225352112676056
bin7	6960550	710	20205	57.197108262085465	97.1830985915493	5.633802816901408
bin70	2862669	1195	2686	45.837716852305014	84.50704225352112	9.859154929577464
bin71	796869	197	5477	54.51830073960438	81.57894736842105	5.2631578947368425
bin72	2133068	54	66442	44.85799111388379	84.21052631578948	3.9473684210526314
bin73	3824716	248	42698	31.750731555640737	98.59154929577464	0.0
bin74	2683832	276	16997	58.29460427880908	94.36619718309859	2.816901408450704
bin75	2822398	165	23289	69.32197482372332	53.521126760563384	2.816901408450704
bin76	2104185	96	30519	46.237490004871695	100.0	0.0
bin77	2591215	291	9645	48.73360357607589	56.33802816901409	0.0
bin78	4449150	402	15500	55.50065562680262	90.14084507042253	2.816901408450704
bin79	3201544	483	10046	42.57362098808509	98.59154929577464	1.408450704225352
bin8	4740061	155	46380	53.677686164604395	100.0	5.633802816901408
bin80	3879576	307	19571	67.14486985216361	88.73239436619718	1.408450704225352
bin81	3601257	209	43139	44.75413600156352	98.59154929577464	2.816901408450704
bin82	4194912	815	7098	56.460177707594724	91.54929577464789	8.450704225352112
bin83	2595086	280	14045	48.54686585545757	90.14084507042253	2.816901408450704
bin84	4567334	99	78263	46.38899474433879	98.59154929577464	1.408450704225352
bin85	3074079	859	4474	71.2537344258201	71.83098591549296	4.225352112676056
bin86	2456190	162	28537	48.23512141968468	88.73239436619718	0.0
bin87	3502224	678	6561	64.89556156077467	95.77464788732394	4.225352112676056
bin88	2236526	114	31412	73.42180234524913	100.0	1.408450704225352
bin89	3082806	139	57269	55.57895437580949	95.77464788732394	1.408450704225352
bin9	2143696	70	38508	35.74476973292174	81.69014084507042	1.408450704225352
bin90	4062944	974	4691	56.33549176737612	84.50704225352112	4.225352112676056
bin91	915025	6	281299	41.00465153918557	76.3157894736842	5.2631578947368425
bin92	3750280	531	11599	51.68710731291459	84.50704225352112	5.633802816901408
bin93	4743603	518	12253	59.040299559872146	90.14084507042253	5.633802816901408
bin94	1777799	34	136369	37.7122347455608	98.59154929577464	0.0
bin95	3669715	205	26876	60.48775755869544	63.38028169014085	4.225352112676056
bin96	4106520	260	24550	45.907117558058026	94.36619718309859	0.0
bin97	3595682	933	4726	64.72456660839086	80.28169014084507	4.225352112676056
bin98	3571282	127	44031	66.13107233089008	98.59154929577464	2.816901408450704
bin99	892330	70	23202	28.523140871294256	77.63157894736842	2.6315789473684212
