Genomic bins	Elos1_final_pure_reads	Elos10_final_pure_reads	Elos3_final_pure_reads	Elos12_final_pure_reads	Elos2_final_pure_reads	Elos7_final_pure_reads
bin.126	0.087554	0.697359	0.354542	0.002123	0.067524	0.285715
bin.267	0.378993	0.169663	0.002214	1.739169	2.023587	0.046612
bin.89	0.032201	0.899783	0.007339	2.167024	2.874833	0.01139
bin.9	0.023765	0.301311	0.002668	0.02448	1.853302	0.002267
bin.270	6.096828	0.01984	1.278916	0.141466	1.298307	1.462762
bin.4	0.0	1.00777	0.012608	0.0	0.0	0.2221665
bin.145	0.025507	1.964813	0.0	0.246723	0.315647	0.0
bin.256	0.054261	0.004236	4.221572	0.002432	0.013204	3.557542
bin.198	0.010718	0.30067	0.0	0.431825	1.131309	0.016789
bin.6	0.188387	0.393713	0.01448	0.052819	0.159545	0.802499
bin.59	0.493032	0.256488	5.18309	0.034524	0.829161	2.113508
bin.119	0.028854	0.081531	0.000933	0.298591	1.63356	0.000818
bin.213	0.0467935	0.392714	0.0	0.322749	0.5711995	0.0
bin.214	0.080444	0.669812	0.004935	0.136986	4.502777	0.003653
bin.218	0.016637	11.600854	0.001481	0.039528	1.284969	0.002263
bin.130	0.221001	1.741851	0.005095	0.125475	0.937184	0.003442
bin.102	0.000369	0.60241	0.0	0.166771	3.834918	0.0
bin.208	0.078911	0.585254	0.398228	0.030993	0.016711	0.534221
bin.243	0.001537	0.478126	0.0	0.056725	1.507772	0.0
bin.140	3.353916	0.054985	0.27845	0.119011	0.309954	0.254065
bin.215	0.0	0.0	1.248266	0.0	0.0	0.187272
bin.85	0.057622	0.804929	0.037307	0.051878	0.756917	0.154719
bin.180	0.089526	1.113684	0.075244	0.0	0.0	0.104885
bin.101	0.10059	0.04	0.0	0.883406	1.650305	0.0
bin.128	0.11692	0.114488	0.0	0.173572	1.340077	0.004426
bin.194	0.053853	0.0182	13.611208	0.0	0.014622	5.561988
bin.175	2.579224	0.143253	0.295989	0.012467	14.419582	0.099285
