#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Methanothermobacter_marburgensis--RS_GCF_000145295.1 as POCP was;	9.075342465753424%
POCP suggests seperate genus between the input genome and Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1 as POCP was;	9.080717488789238%
POCP suggests seperate genus between the input genome and Methanothermobacter_tenebrarum--RS_GCF_003264935.1 as POCP was;	10.157848582285881%
POCP suggests seperate genus between the input genome and Archaeoglobus_veneficus--RS_GCF_000194625.1 as POCP was;	9.240523404829354%
POCP suggests seperate genus between the input genome and Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1 as POCP was;	9.112709832134293%
POCP suggests seperate genus between the input genome and Desulfurococcus_mucosus--RS_GCF_000186365.1 as POCP was;	4.720965309200603%
POCP suggests seperate genus between the input genome and Staphylothermus_hellenicus--RS_GCF_000092465.1 as POCP was;	5.806545033304373%
POCP suggests seperate genus between the input genome and Acidilobus_saccharovorans--RS_GCF_000144915.1 as POCP was;	4.628123613780867%
POCP suggests seperate genus between the input genome and Pyrodictium_delaneyi--RS_GCF_001412615.1 as POCP was;	5.674721694270975%
POCP suggests seperate genus between the input genome and Ignisphaera_aggregans--GB_GCA_011375585.1 as POCP was;	6.072106261859583%
POCP suggests seperate genus between the input genome and Thermofilum_adornatum--RS_GCF_000813245.1 as POCP was;	5.8060013956734124%
POCP suggests seperate genus between the input genome and Ferroglobus_placidus--RS_GCF_000025505.1 as POCP was;	9.479577554396233%
POCP suggests seperate genus between the input genome and Archaeoglobus_fulgidus--GB_GCA_011048195.1 as POCP was;	8.610709117221418%
POCP suggests seperate genus between the input genome and Desulfurococcus_amylolyticus--RS_GCF_000513855.1 as POCP was;	5.283757338551859%
POCP suggests seperate genus between the input genome and Thermosphaera_aggregans--GB_GCA_011053855.1 as POCP was;	5.037037037037037%
POCP suggests seperate genus between the input genome and Thermogladius_calderae--RS_GCF_000264495.1 as POCP was;	5.014219428229307%
POCP suggests seperate genus between the input genome and Pyrodictium_occultum--RS_GCF_001462395.1 as POCP was;	5.777265523699755%
POCP suggests seperate genus between the input genome and Fervidicoccus_fontis--RS_GCF_000258425.1 as POCP was;	5.382521923193226%
POCP suggests seperate genus between the input genome and Thermofilum_pendens--GB_GCA_011363115.1 as POCP was;	4.953917050691245%
POCP suggests seperate genus between the input genome and Thermofilum_uzonense--RS_GCF_000993805.1 as POCP was;	5.7512580877066855%
POCP suggests seperate genus between the input genome and Nitrososphaera_viennensis--RS_GCF_000698785.1 as POCP was;	5.111782477341389%
POCP suggests seperate genus between the input genome and Methanobrevibacter_arboriphilus--RS_GCF_000513315.1 as POCP was;	8.438876651982378%
POCP suggests seperate genus between the input genome and Methanosphaera_cuniculi--RS_GCF_003149675.1 as POCP was;	7.202337472607743%
POCP suggests seperate genus between the input genome and Methanosphaera_stadtmanae--RS_GCF_000012545.1 as POCP was;	7.6923076923076925%
POCP suggests seperate genus between the input genome and Methanobacterium_subterraneum--RS_GCF_002813695.1 as POCP was;	9.11925175370226%
POCP suggests seperate genus between the input genome and Methanobacterium_formicicum--GB_GCA_001316325.1 as POCP was;	9.652125897294313%
POCP suggests seperate genus between the input genome and Methanobacterium_congolense--RS_GCF_900095295.1 as POCP was;	9.230769230769232%
POCP suggests seperate genus between the input genome and Methanobacterium_lacus--RS_GCF_000191585.1 as POCP was;	8.866615265998458%
POCP suggests seperate genus between the input genome and Methanobacterium_paludis--RS_GCF_000214725.1 as POCP was;	9.272467902995722%
POCP suggests seperate genus between the input genome and Methanobacterium_veterum--RS_GCF_000745485.1 as POCP was;	9.800936768149883%
POCP suggests seperate genus between the input genome and Methanobacterium_bryantii--RS_GCF_002287175.1 as POCP was;	9.743589743589745%
