Gene Id	Top hits (Family id,e-value,bitscore)
c_000000001376_59	PF01496.20,4.9e-09,33.1
c_000000002257_6	PF03726.15,4.6e-09,35.1
c_000000004539_37	PF02978.20,1e-32,111.1
c_000000007170_5	PF00368.19,1.4e-96,322.1
c_000000008392_23	PF02576.18,1.5e-15,55.7
c_000000009615_27	PF00410.20,3.7e-48,161.0
c_000000009615_40	PF01000.27,2.5e-19,68.1
c_000000012000_7	PF00380.20,3.2e-47,158.4
c_000000015056_17	PF01025.20,4.4e-44,148.5
c_000000022495_13	PF13685.7,2.3e-15,55.5
c_000000044866_5	PF00466.21,4.1e-23,79.8
c_000000044866_6	PF00687.22,7.7e-50,167.8
