Gene Id	Top hits (Family id,e-value,bitscore)
k141_1311271_length_47358_cov_13.2896_5	TIGR03671,1.2e-131,435.2
k141_1665916_length_33671_cov_12.9832_4	TIGR02651,3.9e-101,334.0
k141_1702104_length_3737_cov_30.0000_2	TIGR00065,1.3e-122,405.4
k141_1923111_length_35597_cov_57.7372_2	TIGR00240,8.6e-44,144.9
k141_1923111_length_35597_cov_57.7372_23	TIGR00398,1.4e-163,541.3
k141_2193353_length_11987_cov_11.0000_11	TIGR00463,2.9e-179,593.1
k141_2310779_length_15793_cov_13.0000_7	TIGR01213,1.2e-128,425.1
k141_2521774_length_26866_cov_17.0000_12	TIGR00337,4.7e-236,780.4
k141_2521774_length_26866_cov_17.0000_20	TIGR00729,2e-61,203.6
k141_2521774_length_26866_cov_17.0000_23	TIGR00458,1.4e-151,501.2
k141_2521774_length_26866_cov_17.0000_27	TIGR00037,1.9e-47,156.3
k141_2521774_length_26866_cov_17.0000_5	TIGR00279,2e-58,192.8
k141_2538487_length_35311_cov_38.0071_14	TIGR00414,1.7e-140,464.7
k141_2538487_length_35311_cov_38.0071_36	TIGR00501,4.4e-98,324.4
k141_2616978_length_15553_cov_16.0024_10	TIGR01080,3.7e-34,113.6
k141_2616978_length_15553_cov_16.0024_16	TIGR01008,1.6e-58,193.6
k141_2616978_length_15553_cov_16.0024_18	TIGR01025,1.7e-48,159.8
k141_2616978_length_15553_cov_16.0024_20	TIGR03636,6.4e-28,93.0
k141_2616978_length_15553_cov_16.0024_21	TIGR03672,6.2e-85,280.6
k141_2616978_length_15553_cov_16.0024_22	TIGR03626,1.3e-107,355.5
k141_2616978_length_15553_cov_16.0024_25	TIGR01046,1.8e-39,130.2
k141_2616978_length_15553_cov_16.0024_5	TIGR03653,1.7e-64,212.7
k141_2678764_length_6665_cov_13.0000_4	TIGR03722,4e-143,472.3
k141_275603_length_51941_cov_18.4038_43	TIGR03677,1.7e-48,159.5
k141_275603_length_51941_cov_18.4038_50	TIGR00491,5.6e-212,701.3
k141_275603_length_51941_cov_18.4038_57	TIGR03680,1.2e-187,620.1
k141_3075792_length_18742_cov_15.0000_13	TIGR00522,1e-82,273.3
k141_3075792_length_18742_cov_15.0000_16	TIGR00064,3.7e-94,311.0
k141_3075792_length_18742_cov_15.0000_3	TIGR00435,3e-141,467.6
k141_3367851_length_14833_cov_11.0000_11	TIGR00448,1.3e-59,196.7
k141_3439409_length_22641_cov_13.0000_12	TIGR00456,6.2e-141,466.4
k141_3581821_length_12009_cov_12.0000_1	TIGR00442,4.9e-112,370.8
k141_3783792_length_6521_cov_12.0000_10	TIGR00293,2.5e-24,81.8
k141_398432_length_205606_cov_15.8421_103	TIGR03683,3.5e-261,865.2
k141_398432_length_205606_cov_15.8421_118	TIGR02236,3.8e-142,469.1
k141_398432_length_205606_cov_15.8421_126	TIGR02258,1.4e-38,128.5
k141_398432_length_205606_cov_15.8421_13	TIGR01018,1.2e-57,190.3
k141_398432_length_205606_cov_15.8421_153	TIGR00264,5.7e-29,96.7
k141_398432_length_205606_cov_15.8421_17	TIGR01077,3.2e-38,127.2
k141_398432_length_205606_cov_15.8421_2	TIGR01020,2.2e-77,255.3
k141_398432_length_205606_cov_15.8421_25	TIGR03670,8.5e-274,905.2
k141_398432_length_205606_cov_15.8421_26	TIGR02390,0.0,1214.2
k141_398432_length_205606_cov_15.8421_27	TIGR02389,2.1e-119,394.7
k141_398432_length_205606_cov_15.8421_29	TIGR01952,1.3e-29,99.3
k141_398432_length_205606_cov_15.8421_3	TIGR01309,8.3e-46,151.8
k141_398432_length_205606_cov_15.8421_33	TIGR00307,2.6e-41,136.7
k141_398432_length_205606_cov_15.8421_53	TIGR00111,1.2e-83,277.2
k141_398432_length_205606_cov_15.8421_6	TIGR00967,4.3e-87,288.6
k141_398432_length_205606_cov_15.8421_79	TIGR03665,1.1e-51,171.0
k141_398432_length_205606_cov_15.8421_80	TIGR01052,5.1e-172,568.6
k141_398432_length_205606_cov_15.8421_83	TIGR00324,2.2e-32,108.3
k141_398432_length_205606_cov_15.8421_85	TIGR00389,1.7e-154,511.4
k141_398432_length_205606_cov_15.8421_9	TIGR00425,7.5e-122,402.4
k141_398432_length_205606_cov_15.8421_90	TIGR00468,5.7e-98,324.0
k141_398432_length_205606_cov_15.8421_91	TIGR00471,1.2e-169,561.3
k141_398432_length_205606_cov_15.8421_93	TIGR00396,3e-282,934.6
k141_398432_length_205606_cov_15.8421_96	TIGR00065,1.7e-129,428.1
k141_398432_length_205606_cov_15.8421_98	TIGR00405,7.6e-38,125.7
k141_4074314_length_61281_cov_19.0000_2	TIGR02153,1e-156,517.7
k141_4074314_length_61281_cov_19.0000_3	TIGR00134,1.1e-209,693.7
k141_4074314_length_61281_cov_19.0000_30	TIGR00291,1.2e-84,279.3
k141_4074314_length_61281_cov_19.0000_36	TIGR02338,1.3e-21,72.6
k141_4074314_length_61281_cov_19.0000_45	TIGR00408,1.4e-180,597.2
k141_4357166_length_18750_cov_15.0000_4	TIGR03674,1.2e-141,467.6
k141_4709038_length_22872_cov_17.0000_26	TIGR00042,1.3e-25,85.8
k141_5014495_length_55476_cov_12.9984_13	TIGR00422,2.1e-246,816.0
k141_5014495_length_55476_cov_12.9984_17	TIGR00270,5.6e-29,96.8
k141_5014495_length_55476_cov_12.9984_18	TIGR00392,2e-224,743.4
k141_5014495_length_55476_cov_12.9984_37	TIGR00283,1.6e-41,137.2
k141_5014495_length_55476_cov_12.9984_47	TIGR00982,1.7e-63,208.4
k141_5014495_length_55476_cov_12.9984_48	TIGR01028,1.3e-59,197.0
k141_5014495_length_55476_cov_12.9984_49	TIGR00490,0.0,1102.8
k141_6004510_length_16349_cov_13.9816_11	TIGR01012,9.4e-73,239.9
k141_6004510_length_16349_cov_13.9816_13	TIGR02397,1.6e-46,155.1
k141_6004510_length_16349_cov_13.9816_9	TIGR01060,1.1e-78,260.7
k141_934133_length_19871_cov_21.0000_15	TIGR00308,4.8e-94,311.8
