#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Rubidibacter_lacunae--RS_GCF_000473895.1 as POCP was;	7.463472423324996%
POCP suggests seperate genus between the input genome and Gloeomargarita_lithophora--RS_GCF_001870225.1 as POCP was;	7.942392699272779%
POCP suggests seperate genus between the input genome and Methyloligella_halotolerans--RS_GCF_001708935.1 as POCP was;	7.556427870461237%
POCP suggests seperate genus between the input genome and Niveispirillum_cyanobacteriorum--RS_GCF_002868735.1 as POCP was;	7.287056029364136%
POCP suggests seperate genus between the input genome and Turicibacter_sanguinis--RS_GCF_013046825.1 as POCP was;	8.218365227711022%
POCP suggests seperate genus between the input genome and Anaerobium_acetethylicum--RS_GCF_900096945.1 as POCP was;	9.477000630119722%
POCP suggests seperate genus between the input genome and Tissierella_praeacuta--RS_GCF_900128955.1 as POCP was;	9.049645390070921%
POCP suggests seperate genus between the input genome and Tepidimicrobium_xylanilyticum--RS_GCF_900106765.1 as POCP was;	9.565341721475551%
POCP suggests seperate genus between the input genome and Anaerosalibacter_bizertensis--RS_GCF_009696605.1 as POCP was;	11.005455962587686%
POCP suggests seperate genus between the input genome and Ruminococcus_flavefaciens--RS_GCF_900119535.1 as POCP was;	7.275280898876405%
POCP suggests seperate genus between the input genome and Halothermothrix_orenii--RS_GCF_000020485.1 as POCP was;	11.325490196078432%
POCP suggests seperate genus between the input genome and Prochlorothrix_hollandica--RS_GCF_000332315.1 as POCP was;	7.061982024045757%
POCP suggests seperate genus between the input genome and Vampirovibrio_chlorellavorus--GB_GCA_003149345.1 as POCP was;	7.403529763685313%
POCP suggests seperate genus between the input genome and Niveispirillum_lacus--RS_GCF_002251795.1 as POCP was;	7.602059140428588%
POCP suggests seperate genus between the input genome and Clostridium_populeti--RS_GCF_900112775.1 as POCP was;	8.73224618621778%
POCP suggests seperate genus between the input genome and Helcococcus_kunzii--RS_GCF_000245755.1 as POCP was;	7.095000858958941%
POCP suggests seperate genus between the input genome and Tissierella_creatinini--RS_GCF_005046945.1 as POCP was;	10.404354587869362%
POCP suggests seperate genus between the input genome and Sporanaerobacter_acetigenes--RS_GCF_900130025.1 as POCP was;	9.998527462818437%
POCP suggests seperate genus between the input genome and Thermoclostridium_stercorarium--RS_GCF_000331995.1 as POCP was;	11.038167938931299%
POCP suggests seperate genus between the input genome and Crinalium_epipsammum--RS_GCF_000317495.1 as POCP was;	7.173184357541899%
