accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_000445205.1	Desulfonauticus sp. A7A	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonauticus; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonauticaceae; g__Desulfonauticus; s__Desulfonauticus sp001507915	False	False
GCA_001311565.1	Desulfothermus okinawensis JCM 13304	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfothermus; s__Desulfothermus okinawensis	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfohalobiaceae_A; g__Desulfothermus; s__Desulfothermus okinawensis	True	True
GCA_001507915.1	Desulfonauticus sp. 38_4375	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonauticus; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonauticaceae; g__Desulfonauticus; s__Desulfonauticus sp001507915	True	False
GCA_003546925.1	Desulfonauticus sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonauticus; s__	Undefined (Failed Quality Check)	False	False
GCA_003550685.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira sp003553695	False	False
GCA_003551145.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira sp003554505	False	False
GCA_003551155.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira sp003551155	True	False
GCA_003553065.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	Undefined (Failed Quality Check)	False	False
GCA_003553105.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira thiodismutans	False	False
GCA_003553335.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	Undefined (Failed Quality Check)	False	False
GCA_003553695.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira sp003553695	True	False
GCA_003554505.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira sp003554505	True	False
GCA_003556265.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira sp003553695	False	False
GCA_003557865.1	Desulfonatronovibrio sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronovibrio; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronovibrio; s__Desulfonatronovibrio sp003557865	True	False
GCA_003558575.1	Desulfonatronovibrio sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronovibrio; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronovibrio; s__Desulfonatronovibrio sp003558575	True	False
GCA_003561395.1	Desulfonatronospira sp.	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfonatronospira; s__	d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfonatronovibrionaceae; g__Desulfonatronospira; s__Desulfonatronospira sp007125075	False	False
