Gene Id	Top hits (Family id,e-value,bitscore)
k141_2211618_length_50027_cov_17.0000_40	PF01000.27,9.5e-27,89.9
k141_2211618_length_50027_cov_17.0000_43	PF00380.20,5.8e-31,103.8
k141_2211618_length_50027_cov_17.0000_44	PF01194.18,7e-30,99.4
k141_2211618_length_50027_cov_17.0000_5	PF13685.7,1.9e-20,70.0
k141_2724090_length_24163_cov_12.0000_16	PF01025.20,7.4e-40,132.6
k141_3199957_length_41306_cov_16.0061_26	PF01864.18,2.6e-37,124.7
k141_3297488_length_153880_cov_16.3264_63	PF00687.22,2e-37,125.2
k141_3297488_length_153880_cov_16.3264_64	PF00466.21,2.8e-20,68.6
k141_3663567_length_89805_cov_29.5194_55	PF04019.13,3.4e-30,100.4
k141_3663567_length_89805_cov_29.5194_57	PF00827.18,6.5e-78,257.0
k141_3663567_length_89805_cov_29.5194_84	PF00368.19,1.6e-115,382.2
k141_3663567_length_89805_cov_29.5194_88	PF01090.20,2.5e-57,188.7
k141_3663567_length_89805_cov_29.5194_89	PF01984.21,5.1e-25,84.2
k141_3663567_length_89805_cov_29.5194_91	PF01198.20,1.1e-12,44.3
k141_3928716_length_69340_cov_13.0000_49	PF01798.19,2.9e-47,157.3
k141_3928716_length_69340_cov_13.0000_50	PF01269.18,2.4e-74,245.5
k141_5723481_length_76455_cov_18.0017_11	PF02978.20,9.7e-27,89.8
k141_5723481_length_76455_cov_18.0017_24	PF01157.19,1.2e-24,82.3
k141_5723481_length_76455_cov_18.0017_26	PF04919.13,1.1e-56,187.9
k141_5723481_length_76455_cov_18.0017_40	PF01866.18,6.3e-63,209.2
k141_5723481_length_76455_cov_18.0017_47	PF13656.7,4e-09,32.4
k141_6751816_length_87876_cov_16.3441_104	PF01282.20,5e-10,35.5
k141_6751816_length_87876_cov_16.3441_112	PF01015.19,5.2e-51,169.2
k141_6751816_length_87876_cov_16.3441_48	PF01868.17,1.7e-23,78.6
k141_6751816_length_87876_cov_16.3441_52	PF00900.21,3.2e-20,68.1
k141_6751816_length_87876_cov_16.3441_55	PF00410.20,2.3e-28,94.9
k141_6751816_length_87876_cov_16.3441_57	PF01655.19,6.9e-38,125.6
k141_6751816_length_87876_cov_16.3441_59	PF01280.21,8.9e-55,180.9
k141_6751816_length_87876_cov_16.3441_72	PF04104.15,2.2e-06,23.5
k141_6751816_length_87876_cov_16.3441_79	PF07541.13,2.3e-15,52.9
k141_6751816_length_87876_cov_16.3441_89	PF01200.19,1.4e-19,66.1
k141_6751816_length_87876_cov_16.3441_94	PF01092.20,2.8e-40,133.4
k141_6784513_length_31451_cov_18.0000_11	PF01191.20,8.6e-30,98.7
k141_871282_length_39052_cov_15.4707_48	PF13685.7,4e-12,42.7
