#Matching species	Similarity (%)
Cerasicoccus arenae--Puniceicoccaceae--AB292183 (Valid)	88.06983511154219
Ruficoccus amylovorans--Puniceicoccaceae--KT751307 (Valid)	88.0539499036609
Coraliomargarita sinensis--Puniceicoccaceae--MG490168 (Valid)	87.00564971751412
Puniceicoccus vermicola--Puniceicoccaceae--DQ539046 (Valid)	86.84719535783366
Pelagicoccus croceus--Puniceicoccaceae--AB297922 (Valid)	86.7816091954023
Pelagicoccus albus--Puniceicoccaceae--AB286016 (Valid)	86.56429942418427
Oceanipulchritudo coccoides--Puniceicoccaceae--MN689931--NOT VALID	85.82834331337325
Pelagicoccus mobilis--Puniceicoccaceae--AB286015 (Valid)	85.79654510556622
Coraliomargarita akajimensis--Puniceicoccaceae--CP001998 (Valid)	85.40489642184558
Pelagicoccus litoralis--Puniceicoccaceae--AB286017 (Valid)	85.37054860442733
Cephaloticoccus primus--Opitutaceae--KM066004 (Valid)	84.81973434535104
Nibricoccus aquaticus--Opitutaceae--CP023344 (Valid)	84.0909090909091
Geminisphaera colitermitum--Opitutaceae--ABEA03000104 (Valid)	83.84030418250951
Cephaloticoccus capnophilus--Opitutaceae--KM066003 (Valid)	83.77609108159393
Ereboglobus luteus--Opitutaceae--KU670677 (Valid)	83.73668925459826
Oleiharenicola alkalitolerans--Opitutaceae--KJ721192 (Valid)	83.02658486707567
Opitutus terrae--Opitutaceae--CP001032 (Valid)	82.88973384030417
Alterococcus agarolyticus--Opitutaceae--AF075271 (Valid)	82.83220174587778
Rariglobus hedericola--Opitutaceae--MN197844--NOT VALID	82.53807106598985
Oleiharenicola lentus--Opitutaceae--MH493678--NOT VALID	82.22862632084535
Roseibacillus persicicus--Verrucomicrobiaceae--AB331890 (Valid)	80.44747081712063
Roseibacillus ponti--Verrucomicrobiaceae--AB331889 (Valid)	80.03972194637538
Persicirhabdus sediminis--Verrucomicrobiaceae--AB331886 (Valid)	79.94186046511628
Haloferula sargassicola--Verrucomicrobiaceae--AB372856 (Valid)	79.82541222114452
Roseibacillus ishigakijimensis--Verrucomicrobiaceae--AB331888 (Valid)	79.76653696498055
Haloferula rosea--Verrucomicrobiaceae--AB372853 (Valid)	79.6116504854369
Rubritalea halochordaticola--Rubritaleaceae--AB543683 (Valid)	79.52987267384917
Luteolibacter flavescens--Verrucomicrobiaceae--KX185934 (Valid)	79.40327237728584
Rubritalea marina--Rubritaleaceae--DQ302104 (Valid)	79.3069306930693
Haloferula helveola--Verrucomicrobiaceae--AB372855 (Valid)	79.28015564202335
Rubritalea squalenifaciens--Rubritaleaceae--AB277853 (Valid)	79.21291624621595
Haloferula luteola--Verrucomicrobiaceae--FJ032193 (Valid)	79.15831663326654
Rubritalea sabuli--Rubritaleaceae--AB353310 (Valid)	78.89105058365759
Rubritalea spongiae--Rubritaleaceae--AB297805 (Valid)	78.77906976744185
Haloferula harenae--Verrucomicrobiaceae--AB372852 (Valid)	78.57142857142857
Rubritalea tangerina--Rubritaleaceae--AB297806 (Valid)	78.33173537871524
Syntrophorhabdus aromaticivorans--Syntrophorhabdaceae--AB212873 (Valid)	78.2991202346041
Peptoclostridium litorale--Peptostreptococcaceae--X77845 (Valid)	78.03468208092485
Rubritalea profundi--Rubritaleaceae--KR108285 (Valid)	77.96116504854369
Desulfosoma caldarium--Syntrophobacteraceae--FJ491989 (Valid)	77.85299806576403
Thermolithobacter ferrireducens--Thermolithobacteraceae--AF282253 (Valid)	77.85299806576403
Dissulfurimicrobium hydrothermale--Deltaproteobacteria incertae sedis--KT159733 (Valid)	77.6930409914204
Haloferula chungangensis--Verrucomicrobiaceae--JN001489 (Valid)	77.68199233716476
Desulfomonile tiedjei--Syntrophaceae--AM086646 (Valid)	77.57390417940877
Luteolibacter arcticus--Verrucomicrobiaceae--KP101281 (Valid)	77.55710029791459
Desulfuromonas carbonis--Desulfuromonadaceae--KJ776405 (Valid)	77.42857142857143
Brevifollis gellanilyticus--Verrucomicrobiaceae--AB552872 (Valid)	77.3658536585366
Halothermothrix orenii--Halanaerobiaceae--CP001098 (Valid)	76.88679245283019
Desulfacinum hydrothermale--Syntrophobacteraceae--AF170417 (Valid)	76.46484375
Desulfoglaeba alkanexedens--Syntrophobacteraceae--DQ303457 (Valid)	76.07655502392345
