#Matching species	Similarity (%)
Phycisphaera mikurensis--Phycisphaeraceae--AB447464 (Valid)	84.0314136126
Thiocapsa marina--Chromatiaceae--AFWV01000002 (Valid)	76.2626262626
Tepidisphaera mucosa--Tepidisphaeraceae--KM036168 (Valid)	75.1256281407
Desulfovibrio simplex--Desulfovibrionaceae--FR733678 (Valid)	74.7524752475
Desulfovibrio legallii--Desulfovibrionaceae--FJ225426 (Valid)	74.6803069054
Thiohalocapsa marina--Chromatiaceae--AM491592 (Valid)	74.6153846154
Thiocystis violascens--Chromatiaceae--AJ224438 (Valid)	73.9690721649
Desulfovibrio piger--Desulfovibrionaceae--AF192152 (Valid)	73.9557739558
Lentisphaera araneosa--Lentisphaeraceae--AY390428 (Valid)	73.7623762376
Chitiniphilus shinanonensis--Chromobacteriaceae--AB453176 (Valid)	73.4491315136
Lentisphaera marina--Lentisphaeraceae--JN175275 (Valid)	72.9591836735
Schlegelella thermodepolymerans--Comamonadaceae--AY152824 (Valid)	72.8179551122
Noviherbaspirillum massiliense--Oxalobacteraceae--JN657219 (Valid)	72.5247524752
Lautropia mirabilis--Burkholderiaceae--AEQP01000026 (Valid)	72.4565756824
Desulfovibrio mexicanus--Desulfovibrionaceae--AF227984 (Valid)	72.3456790123
Macromonas bipunctata--Comamonadaceae--AB077037 (Valid)	72.3456790123
Rhodocyclus purpureus--Rhodocyclaceae--M34132 (Valid)	72.3039215686
Lampropedia hyalina--Comamonadaceae--AB089485 (Valid)	72.1393034826
Desulfovibrio marrakechensis--Desulfovibrionaceae--AM947130 (Valid)	72.0987654321
Cupriavidus taiwanensis--Burkholderiaceae--AF300324 (Valid)	71.6748768473
Treponema ruminis--Spirochaetaceae--GU566698 (Valid)	71.6560509554
Haliea atlantica--Halieaceae--KM117233 (Valid)	71.5346534653
Desulfovibrio oxamicus--Desulfovibrionaceae--DQ122124 (Valid)	71.4285714286
Cupriavidus numazuensis--Burkholderiaceae--AB104447 (Valid)	71.4285714286
Caedibacter caryophilus--Unclassified Thiotrichales--X71837 (Valid)	71.0327455919
Microbulbifer yueqingensis--Microbulbiferaceae--GQ262813 (Valid)	70.8641975309
Ectothiorhodospira mobilis--Ectothiorhodospiraceae--X93481 (Valid)	70.3980099502
Cellvibrio mixtus--Cellvibrionaceae--AF448515 (Valid)	69.9004975124
Halodesulfovibrio marinisediminis--Desulfovibrionaceae--AB353727 (Valid)	69.801980198
Spirillum winogradskyi--Spirillaceae--AY845251 (Valid)	68.982630273
Cellvibrio japonicus--Cellvibrionaceae--AF452103 (Valid)	68.7192118227
Halodesulfovibrio aestuarii--Desulfovibrionaceae--FJ655909 (Valid)	68.2266009852
