Gene Id	Top hits (Family id,e-value,bitscore)
c_000000002546_45	PF01200.19,1.6e-31,106.0
c_000000003994_61	PF02006.17,3.4e-69,229.8
c_000000006050_30	PF00466.21,8.2e-21,72.0
c_000000006050_31	PF00687.22,2.8e-37,126.4
c_000000006275_41	PF01864.18,7.8e-29,98.8
c_000000006540_38	PF13685.7,7.3e-27,92.7
c_000000006623_37	PF01025.20,1.5e-42,143.0
c_000000009594_34	PF00827.18,8.7e-82,271.4
c_000000010231_8	PF13685.7,1.2e-10,39.5
c_000000010703_2	PF01798.19,6.7e-65,216.7
c_000000010703_3	PF01269.18,9.2e-86,284.5
c_000000010739_26	PF01000.27,5.6e-23,79.4
c_000000010739_29	PF00380.20,2.6e-27,93.7
c_000000011179_13	PF07541.13,8.7e-17,59.2
c_000000011179_16	PF04104.15,7.6e-30,102.1
c_000000011816_10	PF00900.21,1.8e-18,64.2
c_000000011816_12	PF00410.20,2.7e-25,86.7
c_000000011816_14	PF01655.19,9e-30,101.2
c_000000011816_15	PF01280.21,8.5e-49,163.2
c_000000011816_6	PF01868.17,5.6e-19,65.8
c_000000011834_23	PF01198.20,1.3e-11,42.5
c_000000011834_25	PF01984.21,2.9e-23,80.2
c_000000011834_26	PF01090.20,2e-46,155.0
c_000000013437_19	PF01282.20,3.5e-17,60.1
c_000000013437_20	PF04019.13,1.4e-26,90.4
c_000000019752_13	PF13656.7,5.7e-13,46.4
c_000000029684_15	PF01496.20,4.6e-25,85.6
c_000000029684_9	PF01990.18,7.9e-14,49.7
c_000000029878_4	PF01092.20,1.6e-28,97.1
c_000000052397_9	PF02978.20,2.8e-25,86.8
c_000000052415_6	PF13685.7,1.4e-25,88.5
