#Matching species	Similarity (%)
Methanomassiliicoccus luminyensis--Methanomassiliicoccaceae--HQ896499 (Valid)	84.22222222222221
Thermogymnomonas acidicola--Thermoplasmatales incertae sedis--AB269873 (Valid)	81.28460686600222
Thermococcus nautili--Thermococcaceae--AY099161 (Valid)	80.84163898117387
Thermococcus eurythermalis--Thermococcaceae--CP008887 (Valid)	80.73089700996677
Cuniculiplasma divulgatum--Cuniculiplasmataceae--KT005321 (Valid)	80.70953436807096
Thermococcus atlanticus--Thermococcaceae--AJ310754 (Valid)	80.63380281690141
Thermococcus acidaminovorans--Thermococcaceae--AB055120 (Valid)	80.5094130675526
Thermococcus stetteri--Thermococcaceae--AY099186 (Valid)	80.39867109634552
Thermococcus fumicolans--Thermococcaceae--AY099176 (Valid)	80.39867109634552
Thermococcus gammatolerans--Thermococcaceae--CP001398 (Valid)	80.28792912513842
Thermococcus guaymasensis--Thermococcaceae--AY099178 (Valid)	80.28792912513842
Thermococcus barophilus--Thermococcaceae--AY099172 (Valid)	80.26607538802661
Thermococcus kodakarensis--Thermococcaceae--D38650 (Valid)	80.17718715393134
Thermococcus peptonophilus--Thermococcaceae--AY099183 (Valid)	80.17718715393134
Thermococcus gorgonarius--Thermococcaceae--AY099177 (Valid)	80.17718715393134
Thermococcus paralvinellae--Thermococcaceae--CP006965 (Valid)	80.17718715393134
Thermoplasma volcanium--Thermoplasmataceae--BA000011 (Valid)	80.17718715393134
Thermococcus thioreducens--Thermococcaceae--AF394925 (Valid)	80.15695067264575
Thermococcus piezophilus--Thermococcaceae--CP015520 (Valid)	80.06644518272425
Thermococcus cleftensis--Thermococcaceae--CP003651 (Valid)	80.06644518272425
Thermoplasma acidophilum--Thermoplasmataceae--M38637 (Valid)	80.06644518272425
Thermococcus celer--Thermococcaceae--AY099174 (Valid)	79.95570321151716
Thermococcus barossii--Thermococcaceae--AY099173 (Valid)	79.95570321151716
Thermococcus hydrothermalis--Thermococcaceae--AY099179 (Valid)	79.95570321151716
Thermococcus coalescens--Thermococcaceae--AB107767 (Valid)	79.84496124031007
Thermococcus profundus--Thermococcaceae--AY099184 (Valid)	79.84496124031007
Thermococcus pacificus--Thermococcaceae--AY099182 (Valid)	79.84496124031007
Methanocaldococcus infernus--Methanocaldococcaceae--CP002009 (Valid)	79.84496124031007
Methanoregula boonei--Methanoregulaceae--DQ282124 (Valid)	79.77777777777779
Methanolinea tarda--Methanoregulaceae--AB162774 (Valid)	79.75528364849833
Picrophilus oshimae--Picrophilaceae--X84901 (Valid)	79.734219269103
Picrophilus torridus--Picrophilaceae--AE017261 (Valid)	79.734219269103
Thermococcus siculi--Thermococcaceae--AY099185 (Valid)	79.6234772978959
Methanosphaerula palustris--Methanoregulaceae--CP001338 (Valid)	79.44444444444444
Palaeococcus pacificus--Thermococcaceae--HQ696462 (Valid)	79.40199335548172
Methanolobus chelungpuianus--Methanosarcinaceae--EU293796 (Valid)	79.38844847112118
Palaeococcus ferrophilus--Thermococcaceae--AB019239 (Valid)	79.37915742793791
Methanolobus psychrotolerans--Methanosarcinaceae--KX573102 (Valid)	79.18050941306755
Thermococcus prieurii--Thermococcaceae--FN396976 (Valid)	79.11464245175937
Methanoregula formicica--Methanoregulaceae--AB479390 (Valid)	79.11111111111111
Thermococcus celericrescens--Thermococcaceae--AB107768 (Valid)	79.06976744186046
Methanocaldococcus indicus--Methanocaldococcaceae--AF547621 (Valid)	79.06976744186046
Methanolobus halotolerans--Methanosarcinaceae--MG437307--NOT VALID	78.95902547065337
Thermococcus zilligii--Thermococcaceae--AJLF01000002 (Valid)	78.95902547065337
Methanolobus zinderi--Methanosarcinaceae--EU711413 (Valid)	78.93569844789357
Methanomethylovorans hollandica--Methanosarcinaceae--AF120163 (Valid)	78.93569844789357
Methanoculleus thermophilus--Methanomicrobiaceae--AJ862839 (Valid)	78.64293659621802
Acidiplasma aeolicum--Ferroplasmaceae--AM943980 (Valid)	78.33523375142532
Methanoculleus palmolei--Methanomicrobiaceae--Y16382 (Valid)	78.22222222222223
Acidiplasma cupricumulans--Ferroplasmaceae--AY907888 (Valid)	78.07308970099668
