Gene Id	Top hits (Family id,e-value,bitscore)
c_000000002546_34	TIGR02651,6.8e-50,167.7
c_000000002546_46	TIGR03677,5.6e-45,150.0
c_000000002546_64	TIGR02236,2.6e-126,419.0
c_000000002871_11	TIGR00490,4.2e-189,628.0
c_000000002871_32	TIGR00308,7.9e-82,273.5
c_000000002871_44	TIGR00501,1.5e-89,298.2
c_000000003994_62	TIGR02076,6.2e-49,164.4
c_000000005105_11	TIGR02258,1.5e-37,127.1
c_000000005105_23	TIGR02236,1.5e-127,423.1
c_000000006050_23	TIGR02153,4.1e-150,497.8
c_000000006050_24	TIGR00134,6.1e-196,650.2
c_000000006050_27	TIGR00111,2.5e-81,271.5
c_000000006275_10	TIGR01059,2.5e-283,939.2
c_000000006275_45	TIGR00414,8.9e-154,510.3
c_000000006275_9	TIGR01063,0.0,1106.8
c_000000006540_12	TIGR00042,1.7e-51,172.1
c_000000006623_40	TIGR00408,4.4e-141,468.9
c_000000009170_12	TIGR01052,3.5e-80,267.6
c_000000009594_15	TIGR00432,5.5e-127,422.6
c_000000010703_4	TIGR00729,3.9e-61,204.6
c_000000010726_24	TIGR00405,8.2e-38,127.5
c_000000010739_28	TIGR01077,3e-40,135.7
c_000000011179_15	TIGR00335,8.2e-55,184.3
c_000000011816_13	TIGR03653,1.8e-60,201.5
c_000000011816_17	TIGR01020,1.3e-91,303.6
c_000000011816_18	TIGR01309,2.7e-53,178.0
c_000000011816_4	TIGR01008,3e-70,233.8
c_000000011816_9	TIGR01080,3.6e-37,125.2
c_000000011834_19	TIGR00064,3.8e-90,299.8
c_000000011834_20	TIGR00293,9.8e-22,75.3
c_000000011834_22	TIGR00323,9.8e-49,163.5
c_000000011834_3	TIGR03683,1.3e-236,785.8
c_000000011980_8	TIGR00442,2e-110,367.4
c_000000013437_17	TIGR03722,2.9e-142,471.4
c_000000013437_29	TIGR00501,6.1e-83,276.6
c_000000013437_30	TIGR00458,1.6e-148,493.0
c_000000013437_32	TIGR00283,4e-37,124.9
c_000000013437_8	TIGR00448,1e-55,186.0
c_000000013662_16	TIGR00065,1.1e-94,315.5
c_000000015174_20	TIGR00471,1.1e-175,583.2
c_000000015174_21	TIGR00468,8.3e-112,371.4
c_000000015678_7	TIGR02350,1.1e-251,834.2
c_000000016151_14	TIGR00396,3.7e-289,959.4
c_000000018269_6	TIGR00658,7.3e-67,223.5
c_000000019668_16	TIGR03674,4.2e-127,421.7
c_000000019752_17	TIGR01060,5.3e-157,520.7
c_000000019752_20	TIGR02390,0.0,1314.5
c_000000019752_21	TIGR02389,2.2e-130,432.8
c_000000019752_23	TIGR01952,5.3e-45,151.1
c_000000020873_20	TIGR00194,6.6e-165,547.9
c_000000023134_12	TIGR00324,3.4e-29,99.8
c_000000023994_4	TIGR03629,4.1e-55,183.9
c_000000025711_8	TIGR02236,7.1e-120,397.9
c_000000027676_13	TIGR01046,1.6e-41,138.6
c_000000029878_5	TIGR00631,0.0,1017.8
c_000000033445_10	TIGR00037,1.3e-29,100.6
c_000000033445_4	TIGR00936,2e-158,525.4
c_000000038382_12	TIGR00982,2.1e-70,232.7
c_000000038382_13	TIGR01028,1.7e-66,221.3
c_000000041901_5	TIGR00658,2.3e-110,366.4
c_000000054973_7	TIGR03680,1.3e-170,565.8
c_000000086813_8	TIGR00373,2.5e-33,112.7
c_000000126392_4	TIGR01025,2.6e-58,193.5
c_000000126392_5	TIGR01038,4.1e-52,173.9
c_000000156481_5	TIGR00670,1.3e-106,354.0
c_000000163520_1	TIGR01018,7e-62,206.0
c_000000163520_2	TIGR03628,4.6e-57,189.5
c_000000169003_6	TIGR00389,5.5e-164,544.7
c_000000326666_3	TIGR00435,4.1e-153,508.6
c_000000351599_4	TIGR00324,3.9e-20,70.3
c_000000505400_4	TIGR00021,1.6e-66,221.7
