bins	28S_rRNA_euk
bin1	0
bin10	0
bin100	0
bin101	0
bin102	0
bin103	0
bin104	0
bin105	0
bin106	0
bin107	0
bin108	0
bin109	0
bin11	0
bin110	0
bin111	0
bin112	0
bin113	0
bin114	0
bin114-removed	0
bin115	0
bin116	0
bin117	0
bin118	0
bin119	0
bin12	0
bin12-removed	0
bin120	0
bin121	0
bin122	0
bin123	0
bin124	0
bin125	0
bin126	0
bin127	0
bin127-removed	0
bin128	0
bin129	0
bin13	0
bin130	0
bin131	0
bin132	0
bin133	0
bin134	0
bin135	0
bin136	0
bin137	0
bin138	0
bin139	0
bin14	0
bin140	0
bin141	0
bin142	0
bin143	0
bin144	0
bin145	0
bin146	0
bin147	0
bin148	0
bin149	0
bin15	0
bin150	0
bin151	0
bin152	0
bin153	0
bin154	0
bin155	0
bin156	0
bin156-removed	0
bin157	0
bin158	0
bin159	0
bin16	0
bin160	1
bin161	0
bin162	0
bin163	0
bin164	0
bin165	0
bin166	0
bin167	0
bin168	0
bin169	0
bin17	0
bin170	0
bin171	0
bin172	0
bin173	0
bin174	0
bin175	0
bin176	0
bin177	0
bin178	0
bin179	0
bin18	0
bin180	0
bin181	0
bin182	0
bin183	0
bin184	0
bin185	0
bin186	0
bin187	0
bin188	0
bin189	0
bin19	0
bin190	0
bin191	0
bin192	0
bin193	0
bin194	0
bin195	0
bin196	0
bin197	0
bin198	0
bin199	0
bin2	0
bin20	0
bin200	0
bin201	0
bin202	0
bin203	0
bin204	0
bin205	0
bin206	0
bin207	0
bin208	0
bin209	0
bin21	0
bin210	0
bin211	0
bin212	0
bin213	0
bin214	0
bin215	0
bin216	0
bin217	0
bin218	0
bin219	0
bin22	0
bin220	0
bin221	0
bin222	0
bin223	0
bin224	0
bin225	0
bin226	0
bin226-removed	0
bin227	0
bin228	0
bin229	0
bin23	0
bin230	0
bin231	0
bin232	0
bin233	0
bin234	0
bin235	0
bin236	0
bin237	0
bin238	0
bin239	0
bin24	0
bin240	0
bin241	0
bin242	0
bin243	0
bin243-removed_1	0
bin243-removed_2	0
bin244	0
bin245	0
bin246	0
bin247	0
bin248	0
bin249	0
bin25	0
bin250	0
bin251	1
bin252	0
bin252-removed	0
bin253	0
bin254	0
bin255	0
bin256	0
bin257	0
bin258	0
bin259	0
bin26	0
bin260	0
bin261	0
bin262	0
bin263	0
bin264	0
bin265	0
bin266	0
bin267	0
bin268-removed_1	0
bin268-removed_2	0
bin268_1	0
bin269	0
bin269-removed	0
bin27	0
bin270	0
bin271	0
bin272	0
bin273	0
bin274	0
bin275	0
bin276	0
bin276-removed_1	0
bin276-removed_2	0
bin277	0
bin278	0
bin279	0
bin28	0
bin280	0
bin281	0
bin282	0
bin283	0
bin284	0
bin285	0
bin286	0
bin287	0
bin288	0
bin289	0
bin29	0
bin3	0
bin30	0
bin31	0
bin32	0
bin33	0
bin34	0
bin35	0
bin36	0
bin37	0
bin38	0
bin39	0
bin4	0
bin40	0
bin41	0
bin42	0
bin43	0
bin44	0
bin45	0
bin46	0
bin47	0
bin48	0
bin49	0
bin5	0
bin50	0
bin51	0
bin52	0
bin53	0
bin54	0
bin55	0
bin56	0
bin57	0
bin58	0
bin59	0
bin6	0
bin60	0
bin61	0
bin62	0
bin63	0
bin64	0
bin65	0
bin66	0
bin67	0
bin68	0
bin69	0
bin7	0
bin70	0
bin71	0
bin72	0
bin73	0
bin74	0
bin75	0
bin76	0
bin77	0
bin78	0
bin79	0
bin8	0
bin80	0
bin81	0
bin82	0
bin83	0
bin84	0
bin85	0
bin86	0
bin87	0
bin88	0
bin89	0
bin9	0
bin90	0
bin91	0
bin92	0
bin93	0
bin94	0
bin95	0
bin96	0
bin97	0
bin98	0
bin99	0
