Gene Id	Top hits (Family id,e-value,bitscore)
c_000000007820_24	TIGR01146,2.2e-34,117.0
c_000000007820_32	TIGR01039,2e-177,588.1
c_000000011261_21	TIGR00021,3.5e-63,210.4
c_000000011261_25	TIGR00396,1.4e-298,990.1
c_000000011261_30	TIGR00658,3.2e-103,342.6
c_000000011261_33	TIGR00088,7.1e-78,258.5
c_000000016997_15	TIGR00422,8.9e-296,980.9
c_000000016997_4	TIGR03725,1e-39,134.2
c_000000018858_13	TIGR02397,7.3e-104,345.3
c_000000018858_15	TIGR00615,1.1e-74,247.7
c_000000018858_5	TIGR01302,3e-184,610.6
c_000000020043_12	TIGR00092,6.4e-135,447.5
c_000000020043_18	TIGR00755,9.8e-69,229.0
c_000000021370_10	TIGR00472,1.5e-184,613.0
c_000000021370_3	TIGR00487,2.3e-198,658.1
c_000000021370_5	TIGR01953,6.9e-121,400.8
c_000000021370_9	TIGR00468,3.1e-95,316.6
c_000000024130_5	TIGR00336,1.5e-31,106.9
c_000000025415_5	TIGR00496,3.6e-67,222.9
c_000000025415_6	TIGR02075,3.8e-88,292.5
c_000000025415_7	TIGR00116,7.6e-64,213.2
c_000000025415_8	TIGR01011,1.2e-98,326.4
c_000000026035_10	TIGR01009,8.7e-82,271.4
c_000000026035_11	TIGR01044,1.4e-33,112.7
c_000000026035_13	TIGR01171,4.9e-128,423.7
c_000000026035_15	TIGR03953,3.6e-60,200.0
c_000000026035_16	TIGR03625,2.9e-78,259.8
c_000000026035_5	TIGR01079,3.2e-33,111.8
c_000000026035_9	TIGR01164,3.1e-59,196.1
c_000000029629_14	TIGR01066,5.2e-60,198.8
c_000000029629_18	TIGR00064,4.2e-92,305.8
c_000000029941_2	TIGR00435,8.4e-130,431.4
c_000000032543_2	TIGR00963,0.0,1047.6
c_000000032543_3	TIGR00095,1.4e-27,94.1
c_000000037330_13	TIGR00414,1.3e-121,403.9
c_000000037382_12	TIGR00634,4.1e-128,426.2
c_000000037888_11	TIGR01063,0.0,1127.3
c_000000037888_9	TIGR00928,7.3e-144,477.2
c_000000038068_15	TIGR00138,1e-25,87.9
c_000000038068_17	TIGR00362,7.1e-164,543.5
c_000000042617_15	TIGR00967,1.8e-108,360.5
c_000000042617_16	TIGR01071,1.2e-44,149.1
c_000000042617_18	TIGR01021,7.7e-56,185.7
c_000000042617_3	TIGR01393,7.3e-286,946.7
c_000000042617_4	TIGR02432,1.1e-46,156.6
c_000000042617_6	TIGR00059,4.1e-42,140.6
c_000000042617_7	TIGR02027,3.7e-95,316.0
c_000000042617_8	TIGR01017,2e-79,263.4
c_000000042617_9	TIGR03632,3.9e-53,176.4
c_000000044212_8	TIGR00416,2.4e-137,455.9
c_000000048298_11	TIGR00635,9.5e-135,446.0
c_000000048298_7	TIGR01391,1.3e-118,393.9
c_000000052656_6	TIGR00458,8.6e-111,368.4
c_000000054542_8	TIGR00670,6.7e-82,272.5
c_000000055945_3	TIGR00643,9.8e-205,679.4
c_000000058338_4	TIGR00006,8.3e-92,305.4
c_000000058338_8	TIGR00445,3.7e-58,195.0
c_000000058338_9	TIGR01087,1.3e-98,328.5
c_000000059112_1	TIGR03263,4.2e-65,216.2
c_000000059112_2	TIGR00337,3.6e-228,755.9
c_000000059872_1	TIGR02350,3.4e-257,852.1
c_000000065409_8	TIGR00436,6.6e-61,203.5
c_000000067696_1	TIGR00166,4.9e-18,62.7
c_000000067696_4	TIGR00158,1.5e-39,133.3
c_000000069106_3	TIGR00964,2.7e-15,53.6
c_000000069106_4	TIGR00922,1.4e-57,191.8
c_000000069106_5	TIGR01632,3.5e-58,193.0
c_000000069106_6	TIGR01169,2.2e-96,319.1
c_000000069106_9	TIGR02013,0.0,1499.6
c_000000069866_9	TIGR03723,4.7e-108,358.5
c_000000079703_7	TIGR01029,1.1e-60,201.6
c_000000079703_8	TIGR00490,3.1e-108,360.2
c_000000081414_4	TIGR00420,5.1e-99,328.9
c_000000082453_4	TIGR00460,2e-70,234.8
c_000000082453_5	TIGR03594,3.9e-141,468.4
c_000000082453_9	TIGR00054,2.6e-56,188.8
c_000000082981_3	TIGR01032,7.8e-49,162.2
c_000000082981_5	TIGR00168,7.2e-56,185.9
c_000000089955_3	TIGR00086,2.4e-50,167.8
c_000000092127_4	TIGR01059,3.1e-261,865.9
c_000000093428_2	TIGR00250,1e-25,87.8
c_000000095661_1	TIGR00194,3.4e-161,535.3
c_000000108943_6	TIGR00019,1.1e-137,456.3
c_000000116275_6	TIGR00029,5.6e-21,72.4
c_000000120693_1	TIGR00186,6e-56,187.1
c_000000120693_2	TIGR00083,6.5e-66,220.2
c_000000120693_4	TIGR00065,1.4e-118,393.7
c_000000122556_5	TIGR00382,6.7e-152,503.7
c_000000122556_7	TIGR00115,6.4e-87,289.5
c_000000126270_1	TIGR00344,2.7e-238,790.9
c_000000130915_8	TIGR00408,5.4e-168,557.2
c_000000133832_2	TIGR01394,8.8e-266,880.3
c_000000134086_5	TIGR01510,3.1e-53,177.5
c_000000134086_7	TIGR01128,2.2e-28,96.9
c_000000134113_2	TIGR00043,7.6e-24,81.5
c_000000137486_4	TIGR00392,5.8e-217,720.3
c_000000142824_1	TIGR00442,6.8e-118,391.6
c_000000172466_3	TIGR00090,5.4e-33,110.6
c_000000182794_4	TIGR00382,5.1e-57,191.2
c_000000183774_1	TIGR00456,2.2e-102,340.7
c_000000197129_4	TIGR00959,1e-164,545.9
c_000000209703_2	TIGR00431,1.3e-48,162.9
c_000000209703_4	TIGR00084,3.3e-39,131.9
c_000000299920_4	TIGR00398,3.4e-94,313.9
c_000000370077_3	TIGR00810,6.3e-17,58.9
c_000000391241_1	TIGR00061,8.6e-33,110.3
c_000000391241_3	TIGR02729,1.2e-113,377.0
c_000000392300_2	TIGR01951,7.9e-35,117.5
c_000000399014_1	TIGR00593,2.4e-178,592.8
c_000000441778_1	TIGR00042,6.8e-24,81.8
c_000000463274_2	TIGR00539,3.8e-68,227.7
c_000000467462_1	TIGR00398,9.4e-116,385.1
c_000000608436_1	TIGR00580,5.8e-233,773.6
c_000000824499_1	TIGR00663,3.1e-61,204.8
c_000000853086_2	TIGR02258,2.1e-31,106.7
c_000000872524_1	TIGR00459,2.7e-146,485.8
c_000000896396_1	TIGR00631,8.4e-198,656.2
c_000001007551_1	TIGR00521,8.3e-92,305.7
c_000001014915_1	TIGR00717,8.5e-109,361.9
c_000001126551_1	TIGR01060,1.2e-160,532.3
c_000001206003_1	TIGR02012,1.4e-161,534.7
