#Species	GC%
Methanococcoides_burtonii--RS_GCF_000013725.1	40.76%
Methanococcoides_methylutens--RS_GCF_000765475.1	42.5%
Methanosalsum_zhilinae--RS_GCF_000217995.1	39.16%
Methanohalobium_evestigatum--RS_GCF_000196655.1	36.42%
Methanosaeta_harundinacea--RS_GCF_000235565.1	60.6%
Thermococcus_celer--RS_GCF_002214365.1	56.45%
Thermococcus_barossii--RS_GCF_002214465.1	54.69%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_profundus--RS_GCF_002214585.1	53.09%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_kodakarensis--RS_GCF_000009965.1	52.0%
Thermococcus_peptonophilus--RS_GCF_001592435.1	51.74%
Thermococcus_gammatolerans--RS_GCF_000022365.1	53.56%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_nautili--RS_GCF_000585495.1	54.84%
Thermococcus_guaymasensis--RS_GCF_000816105.1	52.86%
Thermococcus_zilligii--RS_GCF_000258515.1	54.48%
Thermococcus_pacificus--RS_GCF_002214485.1	54.24%
Thermococcus_gorgonarius--RS_GCF_002214385.1	51.67%
Palaeococcus_pacificus--RS_GCF_000725425.1	43.04%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Methanocaldococcus_fervens--RS_GCF_000023985.1	32.22%
Methanocaldococcus_bathoardescens--RS_GCF_000739065.1	30.79%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_vulcanius--RS_GCF_000024625.1	31.58%
Methanocaldococcus_infernus--RS_GCF_000092305.1	33.62%
Picrophilus_oshimae--RS_GCF_900176435.1	35.98%
Cuniculiplasma_divulgatum--RS_GCF_900083515.1	37.3%
Thermogymnomonas_acidicola--RS_GCF_001316105.1	56.43%
Thermoplasma_acidophilum--RS_GCF_000195915.1	45.99%
Thermoplasma_volcanium--RS_GCF_000011185.1	39.92%
Methanomassiliicoccus_luminyensis--RS_GCF_000308215.1	60.48%
Methanolobus_tindarius--RS_GCF_000504205.1	39.79%
Palaeococcus_ferrophilus--RS_GCF_000966265.1	54.31%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanolobus_profundi--RS_GCF_900114835.1	42.57%
Methanolobus_zinderi--RS_GCF_013388255.1	44.06%
Methanomethylovorans_hollandica--RS_GCF_000328665.1	41.87%
