#Species	GC%
Geobacter_uraniireducens--RS_GCF_000016745.1	54.24%
Geobacter_lovleyi--RS_GCF_000020385.1	54.74%
Geobacter_thiogenes--RS_GCF_900167465.1	52.82%
Pelobacter_propionicus--RS_GCF_000015045.1	58.48%
Geobacter_pelophilus--RS_GCF_002117975.1	60.59%
Geobacter_metallireducens--GB_GCA_011046855.1	62.98%
Geobacter_pickeringii--RS_GCF_000817955.1	62.27%
Geobacter_argillaceus--RS_GCF_007830735.1	58.2%
Geobacter_sulfurreducens--RS_GCF_000007985.2	60.94%
Desulfuromonas_acetexigens--RS_GCF_900111775.1	60.34%
Geoalkalibacter_ferrihydriticus--RS_GCF_000820505.1	57.94%
Desulfuromonas_acetoxidans--RS_GCF_000167355.1	51.83%
Desulfuromonas_thiophila--RS_GCF_900101955.1	60.71%
Geothermobacter_ehrlichii--RS_GCF_008124615.1	61.86%
Desulfonatronovibrio_hydrogenovorans--RS_GCF_000686525.1	50.33%
Desulfonatronovibrio_magnus--RS_GCF_000934755.1	44.74%
Desulfobacterium_autotrophicum--RS_GCF_000020365.1	48.76%
Desulfoluna_butyratoxydans--RS_GCF_900699765.1	57.91%
Desulforegula_conservatrix--RS_GCF_000426225.1	42.35%
Desulfatibacillum_aliphaticivorans--RS_GCF_000429905.1	54.4%
Desulfatibacillum_alkenivorans--RS_GCF_900142135.1	54.92%
Desulfatiglans_anilini--RS_GCF_000422285.1	58.75%
Geomonas_oryzae--RS_GCF_004117875.1	61.24%
Geomonas_edaphica--RS_GCF_004917075.1	60.45%
Geomonas_ferrireducens--RS_GCF_004917065.1	60.67%
Geobacter_daltonii--RS_GCF_000022265.1	53.47%
Geobacter_toluenoxydans--GB_GCA_001311985.1	53.59%
